报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),85612,52669,23914,97960,68825,46438,12206,87874,39846,72573,71516,66000,27371,30433,13281,6539,
营业收入(万元),85612,52669,23914,97960,68825,46438,12206,87874,39846,72573,71516,66000,27371,30433,13281,6539,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),65405,40702,18681,76049,52208,35738,10245,69075,31274,55747,56126,52580,20884,23923,10340,5706,
营业成本(万元),61520,38143,17682,69657,48892,33093,8990,59390,28084,49908,49962,46649,18616,20738,9226,4941,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),193,160,87,528,409,330,388,3042,1333,2320,2307,2145,921,1013,442,218,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),4711,3117,1511,4792,2985,2323,1307,4158,1562,3299,3303,3084,1234,1366,644,410,
财务费用(万元),-141,23,42,345,127,281,191,-377,-15,-1812,262,507,451,216,-12,-38,
资产减值损失(万元),-879,-741,-641,727,-206,-289,-631,2861,311,2033,291,195,-338,591,40,175,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,36,4,4,4,--,--,25,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),20207,11967,5233,21947,16621,10700,1965,18800,8572,16851,15391,13419,6487,6509,2942,833,
营业外收入(万元),95,25,22,143,143,42,--,6,2,--,346,220,207,--,--,1,
营业外支出(万元),51,50,50,304,303,303,303,50,50,10,4,1,1,28,27,15,
非流动资产处置损失(万元),--,--,--,0,0,0,0,--,--,10,4,1,--,17,5,--,
利润总额(万元),20251,11942,5205,21786,16461,10440,1663,18755,8524,16841,15733,13638,6693,6481,2914,818,
所得税费用(万元),2841,1813,774,3252,2266,1604,246,3633,2194,4239,4057,3523,1784,1656,755,206,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),17410,10130,4431,18534,14195,8839,1416,15123,6329,12602,11676,10115,4909,4824,2160,612,
归属于母公司所有者的净利润(万元),17431,10130,4440,18523,14153,8837,1440,15124,6397,12589,11802,10171,4947,4824,2160,612,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,159,63,
少数股东损益(万元),-21,-0,-9,10,43,3,-24,-1,-68,13,-126,-56,-38,--,--,--,
基本每股收益,0.98,0.6,0.26,1.09,0.83,0.53,0.08,0.93,0.41,0.8,0.75,0.66,0.73,0.79,--,--,
稀释每股收益,0.98,0.6,0.26,1.09,0.83,0.53,0.08,0.93,0.41,0.8,0.75,0.66,0.73,0.79,--,--,
