报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),84678,391608,264488,157933,66190,328967,234258,149406,70568,334019,253022,165800,76957,320588,257996,223301,165993,
营业收入(万元),84678,391608,264488,157933,66190,328967,234258,149406,70568,334019,253022,165800,76957,320588,257996,223301,165993,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),79768,372818,249220,149878,61369,313719,221590,141434,65484,313552,235551,154506,70310,298105,239302,205824,151129,
营业成本(万元),72892,336002,224556,133525,56041,277154,197303,125345,58320,276014,209270,137103,63663,265000,213145,184849,137131,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),627,2694,1841,1183,606,4535,3639,3308,2451,11747,8877,5803,2703,11158,8992,7757,5820,
销售费用(万元),761,3794,2729,1782,658,2831,2037,1344,645,2561,1866,1177,569,2177,1807,1685,1294,
管理费用(万元),3099,10888,8238,4908,2324,9978,7326,4796,2110,7974,5932,3932,1884,7599,6915,6404,4599,
财务费用(万元),1796,6093,4241,2623,1331,4678,3432,2077,1328,5275,3784,2343,1143,4427,2902,1358,887,
资产减值损失(万元),593,13347,7613,5857,408,14542,7853,4565,629,9980,5822,4148,347,7744,5542,3771,1397,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),290,612,418,128,43,-33,-4,-5,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),290,475,418,128,43,-33,--,-5,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5234,20137,15692,8183,4864,15216,12664,7967,5084,20468,17471,11294,6646,22483,18694,17477,14864,
营业外收入(万元),1,15,238,238,19,794,261,221,160,184,180,173,90,282,353,150,--,
营业外支出(万元),204,440,436,70,--,27,20,20,--,10,6,6,6,55,10,14,96,
非流动资产处置损失(万元),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,64,
利润总额(万元),5031,19712,15494,8350,4884,15982,12905,8168,5244,20641,17645,11461,6730,22709,19037,17613,14768,
所得税费用(万元),878,5733,2697,1502,874,5107,3363,2130,1312,7607,6006,4007,1827,7815,6362,5526,3964,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4153,13979,12796,6848,4010,10875,9541,6038,3933,13035,11639,7454,4903,14895,12675,12087,10804,
归属于母公司所有者的净利润(万元),4138,14960,13047,6971,4010,10875,9541,6038,3933,13035,11639,7454,4903,14895,12675,12087,10804,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),15,-982,-251,-123,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.18,0.66,0.58,0.31,0.18,0.48,0.42,0.27,0.17,0.72,0.65,0.41,0.27,0.83,0.7,0.67,0.62,
稀释每股收益,0.18,0.66,0.58,0.31,0.18,0.48,0.42,0.27,0.17,0.72,0.65,0.41,0.27,0.83,0.7,0.67,0.62,
