报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),25228,16163,4531,34974,24185,15167,4415,36746,25413,16392,35972,39770,39135,28824,
营业收入(万元),25228,16163,4531,34974,24185,15167,4415,36746,25413,16392,35972,39770,39135,28824,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24463,15545,4881,31529,21977,13873,4861,32478,22805,14945,31410,35075,33289,25282,
营业成本(万元),17337,10782,2990,21848,15775,9776,2888,23718,16388,10597,22988,26453,24853,19045,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),261,182,58,411,209,144,48,341,223,204,337,370,494,170,
销售费用(万元),1907,1217,524,2437,1582,1078,593,2279,1820,1116,2077,2448,2274,1620,
管理费用(万元),4616,3151,1459,5549,4154,2665,1501,5753,4342,2928,5267,5275,5009,4172,
财务费用(万元),149,124,35,42,75,41,-7,78,47,41,74,77,89,118,
资产减值损失(万元),193,89,-186,1242,181,170,-162,309,-16,61,667,452,570,157,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),109,109,69,--,--,--,--,--,--,--,--,--,-36,-1,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,-0,-1,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1092,846,-281,3445,2208,1294,-446,4268,2608,1446,4562,4696,5810,3541,
营业外收入(万元),266,241,70,515,356,221,108,579,269,178,238,206,8,22,
营业外支出(万元),80,48,22,18,5,4,0,31,28,21,34,32,130,18,
非流动资产处置损失(万元),--,--,--,--,--,--,--,2,--,1,1,5,16,1,
利润总额(万元),1278,1039,-232,3942,2560,1510,-338,4816,2849,1604,4767,4869,5688,3545,
所得税费用(万元),265,192,66,920,615,278,42,866,623,281,888,924,1186,943,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1013,847,-298,3022,1945,1232,-381,3950,2227,1322,3879,3946,4502,2602,
归属于母公司所有者的净利润(万元),1013,847,-298,3022,1945,1232,-381,3950,2227,1322,3879,3946,4518,2639,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,-63,2300,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,-17,-37,
基本每股收益,0.1,0.08,-0.03,0.38,0.26,0.16,-0.05,0.53,0.3,0.18,0.52,0.53,0.6,--,
稀释每股收益,0.1,0.08,-0.03,0.38,0.26,0.16,-0.05,0.53,0.3,0.18,0.52,0.53,0.6,--,
