报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),140104,418717,301633,180395,70354,382174,266677,182954,68842,249373,176344,101092,40268,215076,152863,93365,36297,163849,--,71459,31026,144397,136255,105663,80012,
营业收入(万元),140104,418717,301633,180395,70354,382174,266677,182954,68842,249373,176344,101092,40268,215076,152863,93365,36297,163849,--,71459,31026,144397,136255,105663,80012,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),130846,394486,281699,166417,65012,364157,254400,176282,66033,238125,168581,96379,38103,205975,147823,89209,35968,153179,--,66542,30532,132789,125555,97405,75132,
营业成本(万元),120038,357912,254921,149069,57234,339799,235118,161371,59431,220532,155530,88661,34971,189111,134551,81585,32009,140643,--,59994,26878,122875,117426,91261,68602,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),377,930,642,370,173,415,265,224,53,161,137,98,31,326,283,98,20,251,--,87,36,792,1330,829,646,
销售费用(万元),4581,14540,11623,7223,3768,10683,8142,5737,2752,7682,5663,3737,2222,6014,4766,2695,1573,4922,--,2596,1463,3465,2193,1423,887,
管理费用(万元),3791,15040,11551,7475,3374,13522,10113,7381,3702,10304,7452,4632,2222,7763,5922,3337,1954,6522,--,3301,1831,5660,4709,3862,4577,
财务费用(万元),253,743,324,17,-159,0,123,7,33,48,-354,-245,-191,-511,-473,-288,-105,122,--,-67,-56,156,110,16,-7,
资产减值损失(万元),1805,5321,2638,2263,621,-262,640,1562,62,-601,152,-503,-1151,3272,2774,1782,518,718,--,632,380,-159,-213,14,428,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-6,376,345,198,191,309,479,368,63,170,92,29,--,2,--,--,--,-50,--,-50,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,269,243,102,--,50,--,--,--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9978,26532,20279,14176,5534,18326,12756,7039,2871,11418,7854,4742,2164,9103,5040,4155,328,10620,--,4867,494,11609,10700,8258,4880,
营业外收入(万元),1,36,1730,688,478,1483,1392,1289,642,728,568,240,23,882,824,488,88,634,--,228,63,712,158,126,351,
营业外支出(万元),2,93,38,27,21,215,176,140,62,269,177,102,46,412,446,232,16,162,--,40,53,43,57,46,13,
非流动资产处置损失(万元),--,--,--,--,--,6,--,8,--,1,--,--,--,--,--,--,--,1,--,--,--,9,3,--,1,
利润总额(万元),9977,26474,21971,14837,5991,19593,13972,8189,3451,11876,8245,4881,2142,9573,5418,4412,401,11091,--,5055,504,12278,10802,8338,5217,
所得税费用(万元),272,2429,2201,917,553,4650,3355,1949,958,2996,2329,1417,547,2425,1424,1215,156,2695,--,1366,328,2852,1844,1315,1074,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9705,24045,19770,13920,5439,14944,10616,6239,2493,8880,5916,3464,1594,7148,3994,3196,245,8397,--,3689,176,9425,8957,7023,4143,
归属于母公司所有者的净利润(万元),9720,23109,18983,13530,5321,14155,10077,5911,2365,8833,5920,3471,1607,7082,3974,3194,260,8409,4620,3711,190,9452,8957,7023,4110,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
