报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),21166,8050,45677,25321,15073,6889,33141,17707,8953,4347,23324,15100,9894,4363,24211,14759,9357,25325,21380,19472,
营业收入(万元),21166,8050,45677,25321,15073,6889,33141,17707,8953,4347,23324,15100,9894,4363,24211,14759,9357,25325,21380,19472,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),20539,8099,44908,23711,14755,6626,28979,16403,8845,4204,20828,14202,9416,4145,21206,13613,8698,21760,18145,16711,
营业成本(万元),11926,4516,25975,13309,7923,3401,18254,10198,5510,2601,14100,9028,5893,2559,14461,8772,5565,15272,12447,11430,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),357,157,691,449,281,141,362,115,63,29,200,133,92,46,238,112,65,227,224,209,
销售费用(万元),3233,1496,6651,4578,2844,1351,4855,2995,1862,907,3774,2921,1988,880,3508,2760,1794,3424,3214,2917,
管理费用(万元),4001,1767,7514,4316,2839,1425,4423,2658,1212,575,2335,1839,1228,544,2302,1707,1144,2213,2090,1764,
财务费用(万元),366,229,602,362,197,77,58,30,-10,-8,85,97,111,52,136,88,56,160,87,28,
资产减值损失(万元),656,-65,3476,698,671,230,1026,407,207,100,333,184,104,64,560,174,74,464,83,365,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),56,--,-81,-4,-12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160,
对联营企业和合营企业的投资收益(万元),56,--,-69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2110,677,2613,2671,963,263,4163,1304,108,143,2496,898,478,218,3005,1146,659,3565,3235,2921,
营业外收入(万元),8,7,18,1,0,375,1890,1134,681,276,1323,908,496,240,1197,699,482,1384,1233,1186,
营业外支出(万元),9,2,2,2,1,--,6,6,--,--,--,--,--,--,19,10,10,0,20,8,
非流动资产处置损失(万元),--,--,--,--,--,--,6,6,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),2109,682,2629,2669,963,638,6046,2432,789,419,3819,1806,975,458,4183,1835,1132,4949,4448,4099,
所得税费用(万元),136,134,92,439,133,129,400,258,118,63,505,267,125,52,562,278,170,668,622,520,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1973,547,2536,2231,830,508,5646,2174,671,356,3314,1539,849,406,3621,1557,962,4281,3826,3579,
归属于母公司所有者的净利润(万元),2018,570,2555,2232,830,508,5646,2174,671,356,3314,1539,849,406,3621,1557,962,4281,3826,3582,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,150,
少数股东损益(万元),-45,-22,-19,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,
基本每股收益,0.04,0.01,0.05,0.04,0.02,0.02,0.21,0.07,0.03,0.04,0.46,0.23,0.13,0.07,0.6,0.26,0.16,0.71,0.64,0.6,
稀释每股收益,0.04,0.01,0.05,0.04,0.02,0.02,0.21,0.07,0.03,0.04,0.46,0.23,0.13,0.07,0.6,0.26,0.16,0.71,0.64,0.6,
