报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),51963,33604,12753,63089,40793,28593,9934,39767,46285,49372,49149,
营业收入(万元),51963,33604,12753,63089,40793,28593,9934,39767,46285,49372,49149,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),46836,29677,10921,56070,36278,25441,9057,36083,41847,44030,45300,
营业成本(万元),39890,25999,9621,48595,31531,22227,7469,29242,33569,36625,38592,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),310,174,91,563,388,361,231,987,1253,1462,1344,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),5991,3292,1410,5770,3572,2063,1168,4587,5562,5365,4457,
财务费用(万元),669,510,167,576,439,282,147,711,760,453,379,
资产减值损失(万元),-23,-298,-368,566,348,508,41,556,702,125,529,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5127,3927,1832,7019,4516,3151,877,3683,4439,5342,3849,
营业外收入(万元),105,--,--,100,75,0,--,69,42,121,175,
营业外支出(万元),3,1,--,58,56,56,0,51,5,2,8,
非流动资产处置损失(万元),2,1,--,58,56,56,--,46,5,2,8,
利润总额(万元),5229,3926,1832,7061,4535,3096,877,3701,4476,5460,4016,
所得税费用(万元),673,573,249,993,640,451,163,554,607,750,506,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4556,3353,1583,6068,3895,2644,837,3147,3869,4710,3510,
归属于母公司所有者的净利润(万元),4556,3353,1583,6068,3895,2644,837,3147,3869,4710,3510,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.3,0.22,--,0.4,0.26,0.17,--,0.21,0.25,0.31,0.23,
稀释每股收益,0.3,0.22,--,0.4,0.26,0.17,--,0.21,0.25,0.31,0.23,
