报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,
营业总收入(万元),771228,584886,411436,233532,983815,667301,396715,173102,916464,644628,405290,184431,1657109,1235023,952070,318913,660142,345941,192214,91421,401954,296718,239242,137495,365170,284198,211261,96937,449848,351995,264993,134075,505408,322417,194821,83927,559413,417517,262264,369102,299134,187995,982440,203658,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
利息收入(万元),658903,408688,266185,13595,512888,104291,245197,46959,486739,112893,257097,22952,683932,174378,349029,59511,255877,84949,97374,30537,150450,63079,64357,15664,96629,52999,48842,17756,118473,71280,60400,26950,91505,57209,45344,15900,68739,36442,26825,83275,35916,22473,51112,9874,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,104456,--,434350,--,142434,--,767305,--,189426,--,236115,--,67427,--,236256,--,78576,--,165730,--,57124,320817,266106,182439,91033,388901,255731,171576,85232,448370,343733,203358,336397,274529,178992,488443,83706,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
其他业务收入(万元),9775,2850,6998,2659,14389,12471,9497,4201,12917,8105,5685,2483,8373,6407,2701,1320,6023,2720,1778,1007,2364,1661,921,324,3395,2184,1345,690,3555,2020,1175,665,2826,1962,1499,1080,2648,4261,1739,4276,3816,2396,6236,6503,
营业总成本(万元),598885,418508,274316,130876,576775,365372,233472,118250,535351,353352,231407,103862,682632,466079,330596,123944,376676,232722,148485,58980,321925,234650,130215,65842,238639,168211,114309,52836,251068,179257,120125,57597,220056,147268,96914,44013,167711,163226,94365,202458,133121,80797,264686,72520,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
利息支出(万元),487191,361704,239309,--,388338,--,176340,--,327167,--,188929,--,461951,--,212649,--,129056,--,40963,--,58012,--,27423,--,31764,--,13988,--,27642,--,11289,--,18194,0,8335,--,12658,--,4695,33406,0,0,23298,5662,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,
其他业务成本(万元),1851,1526,1043,358,1192,852,573,183,437,309,159,76,951,836,679,105,2302,218,141,94,594,226,157,68,519,291,206,114,685,547,380,214,1109,752,449,249,499,311,165,225,182,128,1528,767,
营业税金及附加(万元),6391,4592,3237,1294,7067,4652,2970,1248,21431,19996,18263,12299,97122,71322,52025,19068,35076,18359,10011,5897,25017,20919,13403,6973,15238,11784,8277,3706,20735,17025,11751,6267,22711,14590,9840,4773,26596,18917,11126,18182,17335,12054,40131,8654,
销售费用(万元),512398,376332,250907,133723,523387,359154,229497,116970,479959,330644,211068,92377,585603,400420,279514,103958,309239,211986,117213,53036,259113,180360,119632,58780,222049,157039,106533,50666,214788,160902,107284,50248,194646,131116,86431,38984,173848,139267,84747,146924,114969,68034,227206,63735,
