报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),50293,275616,176193,112681,48837,90767,61255,35583,12532,105058,70141,52907,33394,176801,133792,95085,49869,292102,223861,241535,283281,247953,156015,
营业收入(万元),50293,275616,176193,112681,48837,90767,61255,35583,12532,105058,70141,52907,33394,176801,133792,95085,49869,292102,223861,241535,283281,247953,156015,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),56914,283027,176375,111835,42686,130462,79134,47679,19976,109036,77060,53003,26440,134173,91697,57373,26798,157634,117968,133599,128894,115683,104665,
营业成本(万元),47480,231157,143905,88654,32507,77704,48508,27703,9834,67059,51142,34958,17001,89922,60907,36287,16821,105982,81138,77934,77566,73354,59770,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1605,7087,5032,3087,2103,5275,3330,1994,771,6423,4553,3744,2573,8679,5870,4122,1819,12897,10234,13515,11304,9749,7673,
销售费用(万元),184,1009,548,335,229,949,668,383,220,1000,902,670,230,1988,1160,600,252,896,593,1020,1096,1145,1511,
管理费用(万元),6355,25385,18578,12595,6303,38721,23058,15776,8176,28500,18677,12598,6262,28311,19999,13923,6810,32871,21764,31008,31887,26835,23699,
财务费用(万元),1291,5648,4697,2575,1543,5020,3570,1823,974,2558,1786,1033,374,4817,3426,2106,1095,3680,3134,3405,2416,1950,2790,
资产减值损失(万元),--,12741,3616,4589,--,2793,--,--,--,3496,--,--,--,456,335,335,--,1308,1105,6718,4624,2650,9221,
公允价值变动收益(万元),-7653,724,--,55,--,--,--,--,--,--,-1740,123,--,--,--,--,--,--,--,--,-4,--,--,
投资收益(万元),271,14672,7097,4997,79,3028,2149,344,--,2230,1699,64,64,32,32,16,16,25,25,156,8196,423,-15,
对联营企业和合营企业的投资收益(万元),--,427,--,--,--,-307,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-13890,7717,7253,6123,6230,-36668,-15730,-11752,-7444,-1747,-6959,90,7017,42660,42127,37727,23087,134493,105918,108092,162580,132692,51335,
营业外收入(万元),27,650,187,103,165,1017,874,242,115,3741,3871,565,221,951,498,315,140,638,438,1164,1015,1437,2737,
营业外支出(万元),9,115,80,60,12,1040,1112,288,281,1002,630,417,84,751,548,105,26,1169,860,627,603,1529,930,
非流动资产处置损失(万元),--,--,--,--,--,55,14,14,7,591,235,175,72,126,36,36,3,294,253,329,12,392,575,
利润总额(万元),-13872,8252,7359,6166,6383,-36690,-15968,-11798,-7609,992,-3719,239,7154,42860,42077,37938,23200,133962,105496,108629,162992,132601,53142,
所得税费用(万元),-2883,2588,2887,2354,1249,-8213,-2455,-1514,-1765,-27,-1027,-340,1891,455,10196,9186,5685,33570,26941,31496,39448,28923,11134,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-10989,5664,4472,3812,5134,-28477,-13513,-10283,-5845,1019,-2692,579,5263,42405,31881,28751,17516,100392,78555,77133,123545,103678,42008,
