报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,
营业总收入(万元),899929,580034,428500,289684,764295,538846,407053,266161,721058,502248,383629,253066,679033,458705,330979,210881,532246,345495,248611,164109,405809,275872,203803,132281,380317,260052,195596,132452,331295,229024,169033,110000,247993,163557,120155,77524,199963,133601,97791,64224,174982,121667,90539,157870,109891,81419,135442,110276,
营业收入(万元),899929,580034,428500,289684,764295,538846,407053,266161,721058,502248,383629,253066,679033,458705,330979,210881,532246,345495,248354,164005,405809,275872,203803,132281,379477,260052,195596,132452,331295,229024,169033,110000,247993,163557,120155,77524,199963,133601,97791,64224,174982,121667,90539,157870,109891,81419,135442,110276,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-370,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,258,104,--,--,--,--,841,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),853922,541234,389875,252026,717762,509793,378393,240948,660905,454281,338958,213702,612688,411334,288712,176034,473707,308199,216076,135174,367739,250182,179747,110724,341632,231112,175096,114199,285335,188691,136222,86226,201847,127387,91565,57212,159101,103863,74221,47062,140496,97198,70630,127227,88795,65105,110990,91332,
营业成本(万元),803967,506878,372641,243686,686013,485651,362340,231682,631674,431618,323506,205438,575510,383373,270527,165628,435538,281274,197938,126327,333968,225921,164036,103385,309252,212586,160568,106472,268057,180209,130448,83384,189442,120390,86908,54583,147863,97916,70296,44860,130164,90510,66019,114988,79938,58426,99703,81210,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5685,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
研发费用(万元),1308,875,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
