报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),379896,1634135,1218312,789546,382424,1596491,1229778,881783,539129,3186147,2385897,1599555,775874,3623348,2675479,1754997,856551,3434102,2481413,1585726,793125,3258126,2459917,1532000,645463,2828075,2117154,1397201,652647,3483547,2736601,1604060,663330,1993759,1410755,904284,452973,3511030,2738547,1838092,1069051,3913369,1745796,3090816,2862501,2166158,
营业收入(万元),364064,1594034,1189472,771617,373117,1563633,1206524,866889,531725,3186147,2385897,1599555,775874,3623348,2675479,1754997,856551,3434102,2481413,1585726,793125,3258126,2459917,1532000,645463,2828075,2117154,1397201,652647,3483547,2736601,1604060,663330,1993759,1410755,904284,452973,3511030,2738547,1838092,1069051,3913369,1745796,3090816,2862501,2166158,
利息收入(万元),14943,35722,25090,15722,8560,28974,20532,12932,6030,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
手续费及佣金收入(万元),889,4379,3750,2207,747,3883,2722,1962,1374,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
营业总成本(万元),390018,1669486,1240583,790400,387939,1748190,1316981,962795,629783,3522002,2511813,1615170,757353,3621845,2724508,1823406,890631,3763393,2676258,1727530,864220,3412217,2576441,1683152,806727,3109395,2281027,1465509,670255,3079560,2415972,1493077,689300,2637368,1950313,1242251,593255,3507255,2701497,1760438,1008064,3523962,1603598,3002094,2464385,1707666,
营业成本(万元),270523,1278248,944402,611874,300314,1401795,1102485,824536,564245,3276752,2401706,1542079,717882,3488000,2625549,1756902,854227,3622438,2576512,1661864,831490,3272245,2475125,1615638,775764,3030627,2217683,1425010,649387,2973266,2333121,1438353,659149,2541896,1890667,1207417,575512,3358028,2625664,1709946,956068,3377717,1543384,2881816,2354590,1587347,
利息支出(万元),4985,10319,6871,4201,2081,5912,3982,2013,1238,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,
