报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),95254,60266,112375,76052,113298,107100,121072,106625,
营业收入(万元),95254,60266,112375,76052,113298,107100,121072,106625,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),84263,52405,101161,66449,101550,95636,103889,93171,
营业成本(万元),73110,45470,81780,55636,82118,77211,81071,74896,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),596,414,1023,372,836,652,478,538,
销售费用(万元),6136,3551,7335,4661,6811,6863,10079,10107,
管理费用(万元),5134,3125,6865,4933,7208,6970,9737,5138,
财务费用(万元),242,47,930,895,2205,2302,1668,880,
资产减值损失(万元),-955,-201,3227,-48,2372,1638,855,1612,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),162,148,122,--,23,5,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),11626,8460,11336,9603,11771,11469,17183,13454,
营业外收入(万元),595,453,582,417,1649,623,2067,424,
营业外支出(万元),33,27,366,173,42,222,504,14,
非流动资产处置损失(万元),9,8,176,34,30,213,504,6,
利润总额(万元),12188,8887,11552,9847,13378,11870,18746,13863,
所得税费用(万元),1995,1431,1817,1652,3366,3113,4784,3636,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),10193,7456,9735,8195,10011,8757,13962,10228,
归属于母公司所有者的净利润(万元),10228,7492,9771,8217,10011,8757,13962,10228,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-36,-36,-35,-22,--,--,--,--,
基本每股收益,0.69,0.51,0.66,0.56,0.68,0.59,0.96,0.75,
稀释每股收益,0.69,0.51,0.66,0.56,0.68,0.59,0.96,0.75,
