报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),53585,280799,201924,121956,54528,216667,137952,85211,42855,204388,140658,94101,48534,255449,184114,117594,56437,299785,198267,130825,72735,359031,268202,194621,94162,394361,294391,189549,101429,322624,243238,162296,83220,268784,196825,131330,72656,261857,191036,114799,54981,133632,82206,39593,5293,45559,32362,26835,16282,
营业收入(万元),53585,280799,201924,121956,54528,216667,137952,85211,42855,204388,140658,94101,48534,255449,184114,117594,56437,299785,198267,130825,72735,359031,268202,194621,94162,394361,294391,189549,101429,322624,243238,162296,83220,268784,196825,131330,72656,261857,191036,114799,54981,133632,82206,39593,5293,45559,32362,26835,16282,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
营业总成本(万元),55750,249422,178787,108727,57041,248457,177170,107593,51197,243815,192073,99904,51362,248470,182284,118976,53918,290680,193146,125276,64520,309017,210567,145624,70792,289265,221176,142937,73192,246477,180299,119424,62538,213777,149329,97991,50292,170975,143522,90494,45913,124064,76284,39281,12184,72384,54120,44803,24820,
营业成本(万元),28706,155793,108188,69628,36940,186305,130475,82075,38199,175028,120753,69289,33017,187908,138466,89889,39945,225900,146777,95342,49765,246664,168640,116450,55446,231496,182995,119136,59566,201343,151725,104022,54621,176513,128538,83867,42893,138601,117614,73713,37352,96359,51960,25190,4910,46174,33455,27416,16309,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,
