报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),337509,178651,646501,458671,307163,159561,486238,335287,206423,102599,481614,359854,247909,119360,488881,379352,276230,142813,410024,293129,193759,104085,421039,309952,211693,110555,461270,346986,232801,112760,357450,253549,169512,85319,273317,192929,175563,197129,
营业收入(万元),337509,178651,646501,458671,307163,159561,486238,335287,206423,102599,481614,359854,247909,119360,488881,379352,276230,142813,410024,293129,193759,104085,421039,309952,211693,110555,461270,346986,232801,112760,357450,253549,169512,85319,273317,192929,175563,197129,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),278889,144149,538710,386574,260074,136007,448416,320714,202783,95870,427843,319082,217009,103623,444287,342938,246455,124145,386650,275959,181235,96848,377004,272904,184365,92643,379157,278957,184922,91352,314267,226743,151301,77533,246758,178080,164921,169849,
营业成本(万元),237493,126020,456541,335858,226631,120405,370723,262203,163682,81765,359709,278587,188931,91641,398495,310267,225605,113859,344854,248819,163575,88458,332027,242978,164922,82767,338516,255504,169489,83821,279281,202027,134374,68033,212198,149274,141139,153261,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),5352,1902,7881,5480,4518,1453,7268,2089,1234,395,3318,2053,1628,423,2262,1445,1034,395,2025,1407,1129,341,3307,2320,1577,759,3854,2694,1906,934,2345,1743,1228,627,2155,1703,1510,1485,
销售费用(万元),14592,7857,26033,18564,11654,5848,18322,13048,8610,4252,16418,11602,8233,3331,10274,7366,4955,2349,8449,5944,3767,1976,8176,6087,4038,1960,8911,6554,4349,2050,7430,5081,3621,1787,5663,4060,4671,3941,
管理费用(万元),14225,6406,26696,19133,12388,5695,23820,19449,12452,6535,26108,17305,11334,5087,21849,15427,10012,4604,24594,16452,10696,4928,27215,18929,12243,6266,21442,11703,6870,3659,19710,13137,8705,4544,14880,13683,10599,8716,
财务费用(万元),4823,1771,8622,6882,4483,2127,8669,7616,5569,2866,12569,9501,6455,2894,8870,6362,4148,1997,4495,3160,2058,1003,3685,2442,1416,629,3538,2706,2194,889,5376,4617,3559,2527,12009,8722,6576,5324,
资产减值损失(万元),2403,193,12936,657,401,478,19615,16310,11236,57,9721,35,429,247,2536,2071,702,942,2234,176,11,142,2595,148,169,262,2897,-205,115,--,124,138,-186,16,-149,637,426,-2879,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),2127,845,2557,1828,464,-10,8078,176,-583,10,1351,1998,554,290,4137,3563,592,97,6163,5591,3587,827,5893,4649,346,--,3522,3324,294,42,2969,2739,2584,2500,3744,1744,30,8572,
对联营企业和合营企业的投资收益(万元),816,492,663,266,150,-146,-467,-629,-716,-28,-696,119,-148,-71,335,182,203,--,726,297,157,--,1133,419,346,--,450,--,252,--,105,--,--,--,--,--,--,896,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),60961,35414,110264,74245,47679,23544,45900,14750,3057,6739,55122,42770,31454,16027,48732,39977,30367,18765,29537,22761,16112,8064,49928,41697,27674,17912,85635,71353,48172,21450,46153,29545,20795,10285,30303,16593,10672,35852,
营业外收入(万元),732,258,557,317,247,170,843,566,360,170,665,360,213,83,895,328,250,95,3057,2598,2529,2447,306,548,501,421,314,237,164,92,287,165,130,45,5832,5287,641,1341,
营业外支出(万元),205,90,334,361,92,70,934,1270,242,7,1021,130,107,14,1458,675,664,5,389,921,914,766,1001,173,135,10,131,106,70,1,136,137,73,0,235,160,665,69,
非流动资产处置损失(万元),--,--,--,212,8,8,556,139,188,7,806,14,12,12,1373,599,599,--,239,3,2,--,919,95,77,--,7,7,7,--,13,11,3,--,--,84,468,23,
利润总额(万元),61488,35583,110487,74201,47833,23644,45809,14046,3175,6901,54766,43001,31559,16096,48169,39631,29953,18856,32206,24439,17727,9744,49233,42071,28040,18323,85818,71484,48267,21541,46304,29573,20852,10330,35901,21720,10649,37124,
所得税费用(万元),15094,8873,27090,17778,11200,5849,9333,8360,3950,2058,16847,10097,7622,4036,12604,8178,6737,4677,6963,4972,3573,2479,11108,9702,6992,4602,20761,17355,10527,4814,9541,5877,3962,1646,6436,3930,2021,10477,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),46393,26709,83397,56424,36633,17794,36476,5686,-775,4843,37919,32904,23937,12061,35565,31453,23216,14178,25242,19467,14155,7266,38125,32369,21048,13721,65057,54129,37740,16727,36763,23695,16890,8684,29465,17790,8628,26648,
归属于母公司所有者的净利润(万元),46060,26550,82576,55962,36160,17615,35881,13962,4802,5280,43100,34145,24725,12555,36167,31572,23234,14200,25266,19452,14020,7250,36644,31184,20016,13183,60881,50653,35320,15584,33728,21622,15565,8244,26675,15329,8174,25883,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),334,160,821,461,474,180,595,-8276,-5577,-436,-5181,-1242,-788,-495,-602,-118,-18,-22,-23,15,134,16,1481,1186,1032,539,4176,3475,2420,1143,3035,2073,1326,440,2790,2461,454,765,
基本每股收益,0.3,0.22,0.7,0.47,0.3,0.15,0.3,0.12,0.04,0.05,0.44,0.34,0.25,0.13,0.55,0.48,0.35,0.22,0.38,0.29,0.21,0.11,0.56,0.47,0.3,0.2,0.92,0.77,0.54,0.24,0.8,0.52,0.39,0.22,0.81,0.46,0.25,0.78,
