报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),47205,200831,146443,92926,41204,144272,102360,64190,26754,118889,88910,60494,26267,117514,86701,60082,24700,104347,86179,76765,
营业收入(万元),47205,200831,146443,92926,41204,144272,102360,64190,26754,118889,88910,60494,26267,117514,86701,60082,24700,104347,86179,76765,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),42211,172722,123847,78760,35568,131772,93724,58606,25272,112238,83580,55830,25043,109330,80361,54884,23548,95440,78759,69354,
营业成本(万元),30017,126784,92381,58465,26205,90334,65282,40776,17078,78438,58406,39416,17098,79829,58951,40996,16997,71306,59095,51962,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),447,1871,1305,842,376,1421,824,601,222,714,540,375,98,685,502,292,59,666,611,355,
销售费用(万元),5494,20328,14918,9609,4363,18588,12373,7844,3230,14552,11388,7364,3296,12164,9461,5915,2524,11904,9156,8074,
管理费用(万元),4982,21227,13597,8832,4307,18766,12838,7841,4259,16823,11814,7750,3896,13735,9179,6085,3084,10621,8194,7389,
财务费用(万元),968,1792,1157,530,197,1482,1247,772,451,1286,919,594,456,2567,1945,1292,692,711,1450,1433,
资产减值损失(万元),303,720,489,481,121,1180,1160,772,33,425,514,331,199,350,323,306,193,233,253,140,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),154,947,533,233,87,72,-58,22,--,36,--,--,--,--,--,--,--,--,--,-1,
对联营企业和合营企业的投资收益(万元),91,840,494,226,83,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6227,32302,24742,15691,5723,12572,8578,5606,1481,6687,5330,4664,1224,8184,6341,5198,1151,8906,7420,7410,
营业外收入(万元),1,352,554,541,744,1107,845,591,150,2000,1414,603,123,914,717,621,182,1092,1643,709,
营业外支出(万元),31,258,153,85,31,313,265,117,23,113,72,10,7,41,29,13,2,69,37,41,
非流动资产处置损失(万元),--,--,104,62,29,59,25,17,16,18,2,2,1,9,9,9,--,55,13,28,
利润总额(万元),6196,32396,25143,16146,6436,13366,9158,6079,1608,8574,6672,5258,1340,9057,7029,5807,1331,9930,9026,8078,
所得税费用(万元),961,4259,4043,2581,1143,2035,1450,915,394,864,989,539,206,1476,1895,1480,293,1674,1404,1476,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5235,28137,21100,13565,5293,11332,7708,5165,1214,7710,5683,4719,1134,7581,5135,4327,1038,8256,7622,6603,
归属于母公司所有者的净利润(万元),4930,27549,20494,13343,5199,10885,7397,5098,1240,7232,5275,4470,1146,7605,5091,4325,1125,7876,7610,6408,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),305,588,606,222,94,447,311,67,-26,478,408,249,-12,-23,44,2,-86,380,12,195,
基本每股收益,0.11,0.64,0.47,0.31,0.22,0.45,0.31,0.21,0.05,0.3,0.23,0.39,0.1,0.84,0.57,0.48,0.12,0.88,0.85,0.71,
稀释每股收益,0.11,0.64,0.47,0.31,0.22,0.45,0.31,0.21,0.05,0.3,0.23,0.39,0.1,0.84,0.57,0.48,0.12,0.88,0.85,0.71,
