报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),63518,290474,208316,132646,58915,282177,204344,131739,64302,240183,159518,101297,51444,188730,130204,144131,101288,86806,
营业收入(万元),63518,290474,208316,132646,58915,282177,204344,131739,64302,240183,159518,101297,51444,188730,130204,144131,101288,86806,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),66593,286006,204169,130124,58253,272276,196665,126473,60979,233282,154760,98142,50096,181843,125142,135121,94696,79411,
营业成本(万元),54600,237076,173187,111063,49994,235688,171582,110536,53776,200979,133227,84191,43171,157096,107350,115871,79579,67681,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),642,2116,1515,1018,400,1866,1053,659,336,1260,885,566,177,835,565,663,486,508,
销售费用(万元),2420,13172,10768,6543,2583,7858,5169,2904,1171,7122,4463,2781,1407,5652,4046,4150,3316,2882,
管理费用(万元),5239,27301,14750,9661,4449,22931,16386,10519,5059,19503,13150,8092,4003,14517,10361,11843,9767,5751,
财务费用(万元),2330,4173,2418,1018,781,2078,1558,1041,519,2710,2274,1808,1152,2804,2059,2127,964,2096,
资产减值损失(万元),1361,2169,1530,820,46,1856,917,814,117,1709,761,704,186,938,762,466,584,492,
公允价值变动收益(万元),106,-310,-404,-305,-58,-11,-38,-44,-35,22,-11,59,-11,11,67,--,--,--,
投资收益(万元),110,66,15,43,46,27,-7,5,27,132,157,224,0,63,-30,--,--,--,
对联营企业和合营企业的投资收益(万元),30,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-2350,7383,3759,2261,650,9917,7633,5227,3316,7054,4905,3439,1337,6960,5100,9010,6592,7396,
营业外收入(万元),13,185,2505,1871,572,2064,838,413,71,1491,680,606,166,294,199,1165,493,683,
营业外支出(万元),51,311,100,46,9,234,104,58,46,191,42,40,3,149,119,132,40,21,
非流动资产处置损失(万元),--,--,32,27,9,118,44,17,--,96,8,6,--,30,44,89,19,5,
利润总额(万元),-2388,7257,6164,4086,1213,11747,8368,5582,3340,8354,5542,4005,1500,7105,5180,10043,7045,8058,
所得税费用(万元),-497,698,1158,868,309,1355,1298,867,503,771,903,616,445,928,906,1216,979,1218,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-1892,6559,5005,3218,904,10393,7070,4715,2838,7583,4638,3389,1055,6177,4274,8826,6066,6840,
归属于母公司所有者的净利润(万元),-1658,6455,4824,3032,805,9904,6750,4512,2769,7610,4465,3373,1097,6114,4225,8955,6041,6340,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-234,104,181,186,99,488,320,202,69,-27,174,16,-43,63,49,-129,24,499,
基本每股收益,-0.04,0.17,0.13,0.08,0.02,0.26,0.28,0.12,0.22,0.8,0.47,0.35,0.12,0.64,0.44,0.94,0.63,0.77,
稀释每股收益,-0.04,0.17,0.13,0.08,0.02,0.26,0.28,0.12,0.22,0.8,0.47,0.35,0.12,0.64,0.44,0.94,0.63,0.77,
