报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),34597,16159,86611,54850,35658,15797,89115,57628,38642,18144,84183,51865,32033,14284,60091,36905,21706,9483,43189,27298,17516,6767,39613,21699,14294,6410,28265,19906,12753,5635,23329,16684,10850,5277,25786,19244,24114,22557,
营业收入(万元),34597,16159,86611,54850,35658,15797,89115,57628,38642,18144,84183,51865,32033,14284,60091,36905,21706,9483,43189,27298,17516,6767,39613,21699,14294,6410,28265,19906,12753,5635,23329,16684,10850,5277,25786,19244,24114,22557,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),31176,15667,85263,48376,30359,13289,74286,43114,27513,13204,71970,40816,25062,11343,46518,28440,16649,7550,33907,21738,14155,5783,30018,17870,11709,5195,23211,16264,10418,4660,19203,13481,8823,4347,21072,15694,20402,18989,
营业成本(万元),21712,11175,58055,33759,21034,9674,49500,28625,18259,8804,48964,29513,18617,8380,32444,19885,11506,4869,23271,14935,9823,3930,22551,14730,9678,4294,19045,13215,8454,3656,14644,10475,6835,3231,16968,12728,16920,16350,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
