报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),37507,57775,47076,39086,29355,
营业收入(万元),37507,57775,47076,39086,29355,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),32736,50106,40715,35218,27416,
营业成本(万元),27644,42070,33059,28639,21698,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),250,990,2429,2079,1596,
销售费用(万元),713,1381,1034,1185,1222,
管理费用(万元),3876,5297,3937,3341,2750,
财务费用(万元),-26,19,-63,-33,15,
资产减值损失(万元),279,350,319,6,135,
公允价值变动收益(万元),--,--,--,220,28,
投资收益(万元),--,769,357,2,-185,
对联营企业和合营企业的投资收益(万元),--,--,--,-0,-4,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),4771,8438,6717,4090,1783,
营业外收入(万元),138,239,544,218,165,
营业外支出(万元),18,126,68,46,79,
非流动资产处置损失(万元),0,1,4,0,7,
利润总额(万元),4891,8551,7193,4262,1869,
所得税费用(万元),1302,2255,1766,1112,534,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),3589,6296,5427,3150,1335,
归属于母公司所有者的净利润(万元),3566,6296,5429,3152,1340,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),23,--,-2,-2,-4,
基本每股收益,0.6,1.13,1.22,--,--,
稀释每股收益,0.6,1.13,1.22,--,--,
