报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),1077893,502417,1523084,1047119,661733,294469,1231911,825221,514099,228980,834727,579966,345271,135924,597909,409893,262827,110881,358400,212881,118326,48993,217538,152234,89743,33569,126606,72714,33910,10016,49572,32395,18920,7126,36761,24346,14372,32730,22108,21665,13304,
营业收入(万元),1077893,502417,1523084,1047119,661733,294469,1231911,825221,514099,228980,834727,579966,345271,135924,597909,409893,262827,110881,358400,212881,118326,48993,217538,152234,89743,33569,126606,72714,33910,10016,49572,32395,18920,7126,36761,24346,14372,32730,22108,21665,13304,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业总成本(万元),1050196,489277,1508468,1025754,640153,287767,1196795,795252,498746,220993,894052,557167,327158,131977,520727,358165,227800,97384,305968,186088,102425,43327,186780,125220,75040,28230,109296,59453,26582,7699,40908,24806,14511,5674,30012,18907,11393,26936,17440,17472,11926,
营业成本(万元),945776,437074,1245898,841958,520737,231200,965126,633059,391401,170062,604753,419281,244507,95521,408057,284828,182000,76928,234693,139483,73755,30689,140645,93676,55652,20724,81580,43337,16322,4361,23415,14472,7896,2705,16272,10209,5868,14945,9420,10018,6327,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业税金及附加(万元),1607,973,4215,2839,1691,685,3627,1539,1312,666,3264,2220,1342,487,2966,1945,1270,568,1952,1159,754,281,3534,3872,2495,949,5320,2956,1735,522,2675,1760,1029,384,1960,1340,792,1669,1076,521,273,
销售费用(万元),46987,23488,114167,82033,54280,24645,111707,79504,51626,24415,93278,61696,38337,17450,65563,43427,26599,11018,42772,28299,17763,8197,29307,19542,11977,4799,16709,10210,6286,2540,10558,6084,3870,1838,8470,5094,3324,7629,5254,4430,3420,
管理费用(万元),42687,18248,101550,68031,43392,20889,91209,62619,40823,17907,76046,49091,29700,12063,41510,23600,15037,6930,22812,14126,8590,3467,12696,8113,5148,2215,8105,5139,2970,1090,4512,2655,1624,664,3117,2031,1297,2548,1654,2488,1761,
财务费用(万元),11474,7740,28964,25302,15828,7730,15092,15599,11721,7038,18400,20207,10582,5325,2017,2313,1727,1568,2610,2226,1143,612,186,-282,-475,-479,-1334,-1106,-841,-591,-494,-430,-24,12,27,35,43,-41,-50,-20,-7,
资产减值损失(万元),1664,1754,13673,5591,4225,2620,10034,2931,1862,905,98311,4670,2689,1131,614,2051,1166,372,1128,794,420,81,412,299,243,22,-1084,-1084,110,-223,242,266,115,71,166,197,68,186,85,36,152,
公允价值变动收益(万元),-1729,122,-2481,-366,-465,92,2971,3176,4451,4965,9578,10,11,--,2288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
投资收益(万元),8571,4295,14911,8133,12842,3310,30053,22021,20728,149,3943,8514,-4375,-12444,11679,10488,2412,2030,2720,2034,2004,1131,883,464,269,215,125,-33,-14,--,--,--,--,--,0,0,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),1030,312,2198,1160,595,-39,1217,1011,823,149,-16582,-9707,-10298,-12444,3816,2473,2412,2030,2610,1830,1835,1077,787,--,273,227,125,-33,-14,--,--,--,--,--,0,0,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业利润(万元),35547,18437,29867,29131,33958,10104,68140,55166,40532,13102,-45804,31323,13749,-8498,91149,62217,37439,15527,55152,28828,17906,6798,31641,27478,14972,5554,17435,13229,7314,2317,8665,7589,4409,1452,6749,5439,2979,5794,4668,4193,1378,
营业外收入(万元),758,713,2462,4427,3687,1682,13787,1583,1016,324,58100,694,537,162,3763,1150,1022,122,8799,6690,771,178,4184,923,375,60,1492,504,64,--,182,34,24,24,143,48,43,172,172,14,16,
营业外支出(万元),113,37,1166,292,303,37,1089,510,219,53,293,184,48,67,117,157,80,10,449,194,122,8,81,38,12,7,24,12,2,1,55,39,2,2,36,5,4,17,5,39,10,
非流动资产处置损失(万元),--,--,--,79,77,6,97,89,77,--,28,12,1,7,9,9,2,--,83,43,1,--,8,6,3,3,2,1,0,--,5,1,1,0,6,0,3,7,0,13,0,
利润总额(万元),36192,19113,31164,33266,37341,11749,80837,56240,41330,13373,12003,31833,14238,-8403,94795,63210,38381,15638,63503,35324,18555,6968,35745,28363,15335,5607,18902,13721,7376,2316,8792,7584,4431,1475,6856,5482,3018,5949,4835,4168,1384,
所得税费用(万元),3264,3056,6367,4208,5390,2845,11893,5934,5555,1901,4251,10910,5483,1993,20584,10491,6819,2992,15106,7468,4360,1790,9656,7014,3704,1293,4374,3038,1705,457,2520,1891,1101,375,1788,1329,769,1508,1106,31,54,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
净利润(万元),32927,16057,24797,29058,31951,8904,68945,50306,35774,11472,7752,20923,8756,-10396,74212,52719,31562,12647,48397,27857,14195,5178,26088,21349,11631,4314,14528,10683,5671,1858,6272,5694,3330,1099,5068,4153,2250,4441,3730,4137,1330,
