报告日期,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),51692,88053,18359,79838,80594,81825,
营业收入(万元),51692,88053,18359,79838,80594,81825,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),46645,78942,16873,74892,75857,76708,
营业成本(万元),36472,61686,12841,58915,59853,62383,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),449,720,227,561,674,531,
销售费用(万元),4235,7512,1751,6895,6415,5315,
管理费用(万元),4438,8289,1807,7113,6956,5949,
财务费用(万元),667,-472,133,619,1593,1377,
资产减值损失(万元),385,1207,113,788,366,1154,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),--,-675,6,10456,-1035,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),5047,8436,1493,15402,3702,5116,
营业外收入(万元),54,362,8,156,107,212,
营业外支出(万元),42,85,35,480,50,67,
非流动资产处置损失(万元),--,--,--,--,--,--,
利润总额(万元),5059,8713,1466,15078,3758,5261,
所得税费用(万元),1164,1593,208,2392,1061,1113,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),3894,7120,1258,12686,2697,4148,
归属于母公司所有者的净利润(万元),3836,7163,1238,12669,2609,4121,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),58,-43,20,17,88,27,
基本每股收益,0.39,0.72,0.14,1.42,0.29,0.46,
稀释每股收益,0.39,0.72,0.14,1.42,0.29,0.46,
