报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),159394,538404,393357,254012,119965,376684,258001,140186,67618,349039,276229,190823,96876,431395,340793,231096,110049,487704,373568,240457,117908,529518,422310,279321,540343,252472,367333,176787,243112,
营业收入(万元),159394,538404,393357,254012,119965,376684,258001,140186,67618,349039,276229,190823,96876,431395,340793,231096,110049,487704,373568,240457,117908,529518,422310,279321,540343,252472,367333,176787,243112,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),148544,506076,369825,239092,113707,378907,257827,141003,68633,350556,273821,186835,94559,433417,338018,230488,108268,475173,361424,231033,113189,511563,409210,268518,504856,236171,334650,153292,241278,
营业成本(万元),142223,475922,349161,226521,106998,346314,233676,130817,64083,326102,258881,178372,90274,410845,324192,221220,103926,461382,352242,225005,109065,485927,388035,254590,486481,226649,313491,140342,228482,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),282,1015,986,632,328,497,0,0,0,69,69,66,16,12,0,--,--,2,2,2,0,4,3,2,4,2,4,1,3,
销售费用(万元),1203,5406,3739,2084,923,3559,5006,1705,885,3777,2925,2015,970,5086,3919,2615,1072,5081,3842,2571,1173,5371,4257,3046,5207,2448,3781,1932,1713,
管理费用(万元),6037,23192,16680,10554,4797,16922,15784,6417,2899,11433,8877,5933,2797,12770,8595,5299,2887,14118,10881,7236,3773,16490,12199,8192,13450,5641,10690,6771,5375,
财务费用(万元),-1746,-1287,-1425,-1167,490,8219,910,-17,-435,5663,-125,-2183,-1138,1121,412,825,-39,-7326,-6208,-4008,-822,2947,4195,2134,-2160,61,2595,2993,3091,
资产减值损失(万元),545,1830,684,468,171,3395,2450,2081,1201,3513,3194,2632,1641,3583,899,529,422,1917,665,226,-1,825,520,555,1874,1371,4090,1252,2614,
公允价值变动收益(万元),-2550,2308,1496,2443,3069,1649,-245,-924,-652,-743,-453,-114,564,2154,-46,50,47,-38,-12,-18,-1,6,8,-2,105,121,-88,-112,95,
投资收益(万元),1969,4211,3024,2833,2564,1284,490,299,61,4975,2195,1887,173,3940,697,114,-29,535,185,147,25,273,135,18,580,94,-217,244,3118,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10259,38708,28052,20195,11890,711,419,-1442,-1607,2714,4151,5761,3054,4073,3426,773,1799,13028,12317,9554,4743,18233,13242,10819,36171,16516,32378,23628,5047,
营业外收入(万元),80,217,174,87,40,1500,173,44,7,228,189,183,54,400,251,213,162,247,168,115,35,933,831,751,497,374,712,1113,43,
营业外支出(万元),31,83,61,49,6,467,155,65,37,107,97,82,0,107,1,1,--,528,459,46,38,137,88,75,193,7,209,473,222,
非流动资产处置损失(万元),--,--,--,--,--,315,--,--,--,104,--,--,--,105,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,
利润总额(万元),10308,38842,28166,20234,11924,1743,437,-1463,-1637,2835,4243,5862,3108,4366,3676,984,1961,12748,12026,9623,4740,19029,13986,11495,36475,16883,32882,24268,4869,
所得税费用(万元),2619,6549,3959,2329,1572,-842,1083,-270,-94,1864,2474,1923,1103,1358,923,420,339,3752,3445,2433,1343,2575,2483,2209,5889,2398,5214,3278,951,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7689,32293,24207,17904,10352,2585,-646,-1192,-1544,971,1768,3940,2005,3008,2753,564,1622,8996,8581,7190,3397,16454,11503,9286,30586,14486,27668,20990,3917,
归属于母公司所有者的净利润(万元),7689,32293,24207,17904,10352,2585,-646,-1192,-1544,975,1772,3943,2007,3009,2751,564,1622,8996,8581,7190,3397,16427,11503,9268,30541,14464,27636,20966,3901,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,-0,-0,-0,-0,0,-0,-0,-0,-4,-4,-3,-2,-1,1,--,--,--,--,--,--,27,--,18,45,21,32,24,16,
基本每股收益,0.04,0.16,0.12,0.09,0.05,0.01,-0,-0.02,-0.03,0.02,0.03,0.07,0.04,0.06,0.06,0.01,0.04,0.22,0.21,0.18,0.08,0.44,0.28,0.24,1,0.47,0.95,0.76,0.14,
稀释每股收益,0.04,0.16,0.12,0.09,0.05,0.01,-0,-0.02,-0.03,0.02,0.03,0.07,0.04,0.06,0.06,0.01,0.04,0.22,0.21,0.18,0.08,0.44,0.28,0.24,1,0.47,0.95,0.76,0.14,
