报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),271235,167267,80203,290180,208486,134725,68009,272906,266383,134176,267834,209698,182762,
营业收入(万元),271235,167267,80203,290180,208486,134725,68009,272906,266383,134176,267834,209698,182762,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),221020,134306,64452,237570,166532,107154,54627,233902,230130,112316,241636,177735,156635,
营业成本(万元),181521,110090,52987,190538,135408,86891,45059,185568,185752,93529,199334,146682,130372,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2719,1703,920,2508,1709,1008,516,1605,1212,643,1088,1857,1584,
销售费用(万元),30468,18994,9185,38218,25651,17044,8546,36306,34804,15950,31400,23899,18690,
管理费用(万元),5339,3660,1665,5987,4177,2786,1373,5913,4991,2342,4750,4288,3099,
财务费用(万元),-250,-15,138,932,649,447,233,2753,2551,1293,1215,1666,1814,
资产减值损失(万元),1222,-126,-443,-612,-1062,-1022,-1101,1757,820,-1441,3848,-657,1076,
公允价值变动收益(万元),-398,-435,-516,-152,-546,-1967,-1085,-134,-632,-1686,980,644,-289,
投资收益(万元),526,314,270,-1115,-1115,429,415,2631,497,344,283,-764,105,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),55454,35172,15505,51343,40293,26033,12712,41501,36117,20518,27461,31844,25942,
营业外收入(万元),234,154,1300,5413,3637,2299,1118,5797,7398,3579,5381,5748,5249,
营业外支出(万元),216,173,171,61,55,53,2,142,129,50,176,28,117,
非流动资产处置损失(万元),17,16,4,5,4,2,2,4,6,1,1,5,13,
利润总额(万元),55472,35153,16634,56695,43876,28278,13827,47156,43385,24047,32666,37564,31075,
所得税费用(万元),13879,8800,4164,14028,10823,6931,3463,11849,10941,6040,8203,9425,7673,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),41593,26353,12470,42667,33052,21348,10364,35308,32445,18007,24464,28139,23402,
归属于母公司所有者的净利润(万元),41593,26353,12470,42667,33052,21348,10364,35308,32445,18007,24464,28139,23402,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.92,0.6,0.31,1.06,0.82,0.53,0.26,0.88,0.81,0.45,0.61,0.7,--,
稀释每股收益,0.92,0.6,0.31,1.06,0.82,0.53,0.26,0.88,0.81,0.45,0.61,0.7,--,
