报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),228628,871341,608780,70300,15071,319068,214818,106351,19211,437973,185006,110569,21715,566500,293358,151108,4379,444096,179815,78421,8005,258749,135509,63777,5180,217656,132535,63778,6179,201807,115069,58789,8453,161090,92453,55535,8724,97528,58835,32949,5130,104331,49764,28792,8118,58397,34635,19082,3693,
营业收入(万元),228628,871341,608780,70300,15071,319068,214818,106351,19211,437973,185006,110569,21715,566500,293358,151108,4379,444096,179815,78421,8005,258749,135509,63777,5180,217656,132535,63778,6179,201807,115069,58789,8453,161090,92453,55535,8724,97528,58835,32949,5130,104331,49764,28792,8118,58397,34635,19082,3693,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
营业总成本(万元),205657,769995,533649,68066,17252,347217,243022,114566,24758,433572,191759,111371,27661,548060,281118,142219,7828,444542,166070,75277,11943,255925,129133,61805,9205,202634,126067,61748,9055,184791,102484,52605,9291,143362,82452,49406,7116,94102,55311,31131,5961,98266,48595,28370,9870,56231,33003,18673,5059,
营业成本(万元),168299,638918,440139,54886,11413,291262,195779,100978,19252,387815,171776,98833,24223,497201,256127,127157,4079,397638,147423,64761,6525,220797,111448,51746,4750,173856,107551,50851,4361,160789,90417,45952,6185,123959,71308,42045,4355,77042,46942,25928,3801,79353,38749,22061,6324,44509,26038,14664,3109,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
