报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),27321,138789,108484,70864,32982,140332,101222,61858,27811,124789,89583,55904,23299,109300,78963,49800,21622,89269,64749,42282,18583,55615,33426,17051,6760,20582,13046,7653,3111,12821,8612,8903,5090,2409,
营业收入(万元),27321,138789,108484,70864,32982,140332,101222,61858,27811,124789,89583,55904,23299,109300,78963,49800,21622,89269,64749,42282,18583,55615,33426,17051,6760,20582,13046,7653,3111,12821,8612,8903,5090,2409,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
营业总成本(万元),21872,112916,86204,57068,26429,113981,79775,48729,21311,102791,70458,43740,17391,90285,65557,43350,17587,77424,52258,30959,12753,36002,18789,6372,2525,8425,6181,3767,1699,6335,4214,4989,3351,2000,
营业成本(万元),2117,7696,5713,3524,1586,7058,5364,3405,1562,6773,5015,3262,1284,6133,4483,2877,1093,4401,3773,3069,896,2896,2214,1364,603,2325,1558,902,378,1432,990,1413,1074,840,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,0,
