报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),445201,329829,200008,84258,296522,206000,122283,47178,153112,116572,87103,42517,161392,136288,109765,56764,252210,194617,133691,66099,227203,167709,113935,56863,295206,231824,158390,72534,273869,208400,151950,67286,270391,200581,133365,207555,140809,280963,181311,
营业收入(万元),445201,329829,200008,84258,296522,206000,122283,47178,153112,116572,87103,42517,161392,135336,109765,56764,252210,194617,133691,66099,227203,167709,113935,56863,295206,231824,158390,72534,273869,208400,151950,67286,270391,200581,133365,207555,140809,280963,181311,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,952,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业总成本(万元),441722,323772,198680,83790,313844,224925,142090,58565,213698,117860,88425,43964,193657,138617,111614,56585,250998,193967,133086,65759,249193,164244,109944,54623,283655,219081,149714,69796,257268,194613,144577,64683,242738,180537,121647,180536,121438,246973,160440,
营业成本(万元),376048,280184,171686,75019,273673,201482,126398,52346,164180,102613,77075,37959,149537,107654,90952,45631,213477,167363,118470,59851,207643,149620,101590,49356,262424,205633,141913,65843,240767,183358,137499,61397,223751,166677,113412,167863,110972,227385,148649,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
