报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),57089,36169,17046,72928,53586,35868,17342,64971,49024,32671,14687,48240,35183,23152,10700,44984,33884,21973,10764,46547,32950,45975,53402,
营业收入(万元),57089,36169,17046,72928,53586,35868,17342,64971,49024,32671,14687,48240,35183,23152,10700,44984,33884,21973,10764,46547,32950,45975,53402,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),54460,34217,16157,71511,50564,33256,16489,62132,46524,31041,14382,46360,33571,22022,10115,41779,31382,20205,10264,42737,30320,42062,47375,
营业成本(万元),38260,24200,11376,50173,37278,25393,12456,44421,33669,22846,10500,36267,26661,17468,7925,32758,24689,15811,7909,33451,23772,32983,38870,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2943,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),630,385,217,1018,744,498,206,892,397,344,225,183,100,34,34,275,198,120,83,197,195,408,252,
销售费用(万元),7615,4868,2412,9549,5680,3493,1690,6884,5312,3229,1362,2818,2035,1301,570,2357,1663,1121,529,2345,1618,1991,2352,
管理费用(万元),3429,3861,1708,8841,5727,3291,1658,7805,5399,3472,1598,5631,3725,2516,1267,4919,3427,2401,1214,5031,3228,5247,5339,
财务费用(万元),299,234,34,375,219,109,35,878,859,516,265,827,673,412,184,1340,1093,730,364,1212,947,1103,465,
资产减值损失(万元),1285,670,410,1556,917,473,444,1252,887,635,433,634,377,292,136,129,312,21,166,501,560,330,98,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),462,359,131,1117,550,238,140,192,79,64,32,332,105,105,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,-17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4472,3359,1424,4614,4375,3263,994,3030,2579,1693,338,2212,1717,1234,585,3205,2501,1769,500,3810,2630,3913,6026,
营业外收入(万元),53,53,18,75,1,0,50,2921,2116,1109,810,989,537,303,21,652,363,112,67,576,286,1542,342,
