报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),129900,250426,150331,94470,48039,234483,145151,93802,45502,154236,111706,72297,32964,136072,94865,60291,5217,34928,24828,21696,6599,69741,31418,25381,9936,63887,33218,25485,5627,69674,40508,25529,11656,70285,38578,63648,52872,
营业收入(万元),129900,250426,150331,94470,48039,234483,145151,93802,45502,154236,111706,72297,32964,136072,94865,60291,5217,34928,24828,21696,6599,69741,31418,25381,9936,63887,33218,25485,5627,69674,40508,25529,11656,70285,38578,63648,52872,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),122443,215533,129098,82532,41847,194442,117750,76606,37745,127291,93868,61408,28292,113487,80397,51540,6151,49033,36964,28198,10521,76388,39605,29972,12297,62938,38521,28566,7779,67195,42460,26474,11781,65719,38811,60009,49275,
营业成本(万元),88178,179882,105266,67511,33840,162693,102199,65555,32121,104339,79568,51816,23458,96835,70829,45039,3641,27510,20613,18401,5667,57302,25350,19462,7364,46156,27542,22118,4849,56154,35435,22156,9461,55861,31130,50857,42303,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
