报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),43177,27999,50425,38152,24207,45417,42726,38655,
营业收入(万元),43177,27999,50425,38152,24207,45417,42726,38655,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),37431,23939,43011,32056,20377,38803,37288,34752,
营业成本(万元),31471,20147,35566,26894,16890,32972,31809,29279,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),355,239,498,326,260,465,319,213,
销售费用(万元),1871,1241,2443,1670,1135,2280,2237,1876,
管理费用(万元),2960,1801,4095,2819,1808,3148,2524,2390,
财务费用(万元),464,300,1,102,50,-333,269,562,
资产减值损失(万元),309,211,409,245,233,271,130,432,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),--,--,-1,-1,-1,123,29,-32,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),5746,4060,7413,6096,3829,6738,5467,3870,
营业外收入(万元),387,147,465,371,296,290,439,450,
营业外支出(万元),1,1,28,16,14,89,10,37,
非流动资产处置损失(万元),0,0,10,1,1,45,--,32,
利润总额(万元),6131,4206,7851,6451,4111,6939,5897,4284,
所得税费用(万元),798,587,1099,881,584,969,958,615,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),5333,3619,6751,5570,3528,5969,4939,3668,
归属于母公司所有者的净利润(万元),5333,3619,6751,5570,3528,5969,4939,3668,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,0.64,0.55,1.02,0.84,0.53,0.9,0.75,0.56,
稀释每股收益,0.64,0.55,1.02,0.67,0.53,0.9,0.75,0.56,
