报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1310531,857212,606627,333948,1176055,819733,574532,313186,941425,609477,373356,178427,190924,141547,101580,58341,206672,156174,113397,63825,221211,164691,111528,61984,214640,153892,108512,60572,204016,145508,103246,57895,171067,120928,83547,48075,172224,120769,81908,45476,142551,100689,68451,41442,135613,99513,70934,40856,118446,82633,58458,32503,
营业收入(万元),1310531,857212,606627,333948,1176055,819733,574532,313186,941425,609477,373356,178427,190924,141547,101580,58341,206672,156174,113397,63825,221211,164691,111528,61984,214640,153892,108512,60572,204016,145508,103246,57895,171067,120928,83547,48075,172224,120769,81908,45476,142551,100689,68451,41442,135613,99513,70934,40856,118446,82633,58458,32503,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
营业总成本(万元),1144407,749608,528517,292295,1058593,737650,517963,283576,857867,545740,328121,154799,181484,132393,94718,53852,192196,144200,103928,57687,197976,142022,100443,55592,195268,140142,97980,54757,186084,132523,92883,52249,156802,111233,76730,43945,161937,114260,77049,42613,134498,94633,63486,37946,132112,96507,69175,39980,131696,92117,60534,33449,
营业成本(万元),927038,602178,430088,242682,845551,589394,418928,232147,694929,440064,274323,133202,148180,108925,79076,46015,162470,120904,88529,50007,165635,117992,86323,48578,163690,117243,82995,46850,156933,111484,79283,45700,131672,92895,64588,37752,136153,95495,64638,36210,110105,77574,52617,32423,110101,80885,58372,33891,98290,66494,47345,26928,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
营业税金及附加(万元),23289,12704,8616,4705,17984,12524,8313,4819,8802,5776,3859,2339,3139,2268,1626,974,3843,2314,1611,948,5257,4232,1899,1013,3537,2584,1835,1056,3428,2425,1758,914,2754,1907,1212,689,2074,1451,928,645,2317,1565,815,444,1218,707,270,195,568,440,289,178,
销售费用(万元),119729,90490,60403,28636,116542,92002,61654,30795,100409,77843,38777,15325,20338,15851,10800,5047,18290,14680,9663,4695,17249,14399,9491,4764,20123,15037,9983,5210,18950,13782,8713,4175,16459,12094,7923,3978,16414,12154,7958,3835,13971,9354,6043,3009,11037,7950,5747,3561,18208,12879,8591,4465,
管理费用(万元),35425,20350,13747,8521,33989,17666,12428,6898,28189,6063,3638,1910,6475,3632,2056,1183,4586,4079,2746,1391,6915,3853,1766,865,4135,3103,1757,892,3439,2501,1694,831,3236,2335,1652,801,3134,2171,1483,917,4634,3016,1995,1033,3738,3645,2688,1264,10709,9750,2672,1105,
财务费用(万元),33100,23886,15664,7751,34096,26063,16641,8917,25407,15987,7518,2017,2381,1719,1160,633,3003,2223,1379,645,2409,1551,968,373,2792,2175,1411,748,3245,2330,1435,629,2659,2003,1355,724,3836,2993,2047,1006,3184,3118,2009,1039,3302,2881,1982,1069,3520,2554,1621,774,
资产减值损失(万元),5827,1,--,--,10431,--,--,--,131,6,6,6,971,--,--,--,4,--,--,--,510,-4,-4,--,992,--,--,--,89,--,--,--,22,--,--,--,326,-5,-5,--,286,6,6,-1,2717,439,117,0,402,0,16,0,
公允价值变动收益(万元),11820,--,--,--,783,25,25,--,-1459,-1712,-1712,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,0,--,--,0,0,--,--,0,
投资收益(万元),2063,813,590,50,32113,477,382,347,1304,1204,1039,284,834,834,827,3,11773,11767,11763,568,3700,3334,533,-45,699,640,150,617,7752,4974,3505,767,3755,3321,2732,1818,2290,1546,1342,647,2867,2289,1557,740,7425,4027,2615,755,2909,1872,1196,456,
对联营企业和合营企业的投资收益(万元),969,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,2550,2550,-185,-109,-288,651,94,548,6472,4882,3455,--,2590,2161,1576,--,2470,--,1276,--,2459,2159,1432,20,2797,--,1222,33,2909,--,1196,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,0,--,--,0,0,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
营业利润(万元),180281,108429,78664,41673,150485,82585,56976,29957,83403,63230,44561,23912,10274,9988,7689,4492,26249,23740,21232,6706,26935,26003,11619,6347,20072,14391,10682,6432,25684,17958,13868,6413,18019,13015,9548,5948,12576,8055,6201,3510,10920,8345,6523,4235,10925,7033,4374,1631,-10341,-7612,-879,-490,
营业外收入(万元),462,186,159,58,1342,867,323,139,1328,1027,711,66,499,442,419,394,352,107,74,28,1520,541,320,293,476,216,189,136,319,235,102,21,185,153,111,65,3308,3257,3137,99,714,359,38,23,1154,993,173,70,98,71,62,23,
营业外支出(万元),4588,863,606,139,996,195,156,5,1065,479,444,229,96,26,21,9,1061,1046,174,42,45,38,9,3,205,191,187,183,106,94,81,40,12,11,6,4,234,181,122,40,91,45,35,15,58,38,18,57,547,103,69,13,
