报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,
营业总收入(万元),2802600,10578600,7983300,5407300,2771200,10771500,8196800,5476900,2753200,9616300,7115200,4657500,2067100,7340700,5465100,3473300,1610000,5218900,3734500,2342600,1080200,3974865,2953167,1962553,972388,2964306,2070140,1214059,581504,1802228,1315964,849611,408425,1511444,1111395,749085,376060,1451312,1074141,711525,355327,1080750,776719,489072,235213,781787,558467,345317,159677,545055,403868,264113,531012,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,972388,2964306,2070140,1214059,581504,1802228,1315964,849611,408425,1511444,1111395,749085,376060,1451312,1074141,711525,355327,1080750,776719,489072,235213,781787,--,345317,159677,545055,--,264113,531012,
利息收入(万元),4094400,14806800,10887500,7164800,3504500,13111900,9557500,6356800,3235900,13164900,9922500,6586400,3246400,11920200,8757000,5695000,2790400,9310200,6748700,4322600,2024600,7461368,5617419,3722684,1836648,5233070,3499946,1954046,921984,2625179,1881251,1217960,593470,2198551,1641912,1117129,587267,2646526,1991913,1319546,643425,1804390,1242802,762122,357640,1206842,873080,548404,261004,866401,643463,421490,865725,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),994700,3572500,2664600,1786900,912500,3130900,2668900,1810000,889600,2918500,2214400,1496100,596700,1970600,1447300,894100,387900,1182100,828000,489100,202900,644952,466036,309972,159627,412960,272564,133004,54387,183638,133247,86473,36670,138697,92882,56981,24129,105665,80828,47000,19670,66775,41750,26275,10432,42199,29048,18250,7401,30709,20303,12830,24748,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),7600,18600,13000,9500,6200,14600,8700,7400,7100,16100,11600,6100,3200,21300,15700,8700,4300,15000,9300,6500,1400,15477,7915,6551,3140,13288,9395,6447,3159,14750,10469,7350,2879,12871,9260,6048,2878,11394,9701,11462,7047,16497,10519,6834,2523,11305,9252,4924,1720,7293,4851,4266,7575,
营业总成本(万元),1944200,7556300,5483300,3760500,1948400,7793600,5742300,3861300,1951800,6726800,4784700,3130800,1322400,4716100,3388000,2138800,938800,3223400,2203800,1353200,608500,2220699,1617159,1078863,525887,1651036,1088254,609070,275508,1017272,724014,469128,208910,895531,658750,456932,224697,1370969,637720,427426,217692,503180,351509,221145,105507,379062,269347,172411,78917,301373,179430,134690,286987,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,525887,1651036,1088254,609070,275508,1017272,724014,469128,208910,895531,658750,456932,224697,1370969,637720,427426,217692,503180,351509,221145,105507,379062,--,172411,78917,301373,--,134690,286987,
利息支出(万元),2225700,7405900,5339300,3428700,1617600,5470800,4101200,2737200,1396100,6555000,5101900,3474600,1732000,6615600,4915200,3239600,1635400,5241400,3843100,2469800,1153900,4157832,3161406,2107025,1041142,2704092,1731847,914824,411551,1042260,735252,477038,232441,900114,685903,480776,257341,1386738,1044033,689291,328892,843805,549145,318713,143899,506877,372766,237130,112468,377034,273076,179990,372395,
