报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),67504,312718,229756,145120,59344,326120,223186,148350,66339,315535,229901,156825,69717,334626,241314,165522,71886,318722,231263,159338,68165,324775,308803,246752,214945,
营业收入(万元),67504,312718,229756,145120,59344,326120,223186,148350,66339,315535,229901,156825,69717,334626,241314,165522,71886,318722,231263,159338,68165,324775,308803,246752,214945,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),65709,301253,221184,138860,56802,316650,216041,143237,64206,306317,222226,152212,68172,325896,233613,160456,70192,309050,222970,153791,66898,311677,294928,234012,205851,
营业成本(万元),45617,212647,157378,99277,40833,229733,154448,102848,46401,230194,166427,115461,51605,248536,179070,123425,53867,236017,171421,119476,51721,244171,233148,185140,160917,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),708,3295,2031,1299,540,2441,1309,961,554,2032,1484,976,474,2048,1362,978,454,2056,1473,976,358,1962,2086,1157,1639,
销售费用(万元),7985,37159,26948,16638,6599,39875,28563,18157,8004,34466,24253,15448,7032,33369,23391,15599,6618,32751,23435,15590,6550,30672,28306,22404,20011,
管理费用(万元),9216,39401,28032,17215,7558,33955,22856,14498,6845,30868,22646,14496,7041,30868,21810,14364,6719,30668,20718,13958,6391,28795,24741,21021,19826,
财务费用(万元),1070,3283,3032,2064,976,3928,3082,2027,952,4569,3522,2495,1175,6380,5125,3667,1707,4152,2942,1679,1031,4470,4500,3087,2841,
资产减值损失(万元),1113,5469,3763,2367,295,6719,5784,4745,1451,4189,3894,3335,844,4696,2854,2423,827,3405,2981,2112,848,1607,2148,1204,617,
公允价值变动收益(万元),18,-205,-57,-32,-6,4,--,--,--,--,--,--,--,14,6,8,17,-105,-77,-141,45,341,174,-592,169,
投资收益(万元),1146,4418,2936,1291,21,3164,2618,1548,373,5363,4533,2914,1058,7494,5901,3191,794,5865,4551,2626,776,3364,1591,3379,696,
对联营企业和合营企业的投资收益(万元),1187,3648,2267,1091,21,2538,1835,765,373,4725,4025,2276,1058,6309,4996,2840,822,5464,4024,2311,776,2786,2199,1046,572,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3135,18632,12942,8386,2558,12638,9763,6662,2506,14581,12208,7528,2604,16238,13607,8265,2505,15432,12767,8031,2088,16802,15640,15526,9958,
营业外收入(万元),18,163,90,88,317,2577,1251,825,293,3129,974,623,222,1890,791,593,249,1709,543,364,168,1237,7698,1344,5334,
营业外支出(万元),64,247,350,199,66,737,327,236,95,377,257,108,11,341,120,89,12,94,75,63,33,261,122,154,149,
非流动资产处置损失(万元),--,--,47,11,5,123,95,76,51,68,17,8,7,189,45,22,7,81,63,52,32,129,89,104,67,
利润总额(万元),3089,18548,12682,8274,2808,14478,10687,7251,2705,17334,12926,8044,2815,17786,14279,8769,2742,17047,13235,8332,2222,17778,23216,16716,15143,
所得税费用(万元),480,2421,1773,1251,469,2003,1523,1109,412,2557,1613,817,380,2223,1614,1026,339,2291,1540,909,334,4278,4874,2892,865,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2609,16126,10910,7024,2339,12476,9164,6142,2293,14777,11312,7227,2435,15563,12664,7742,2403,14756,11695,7423,1888,13500,18342,13824,14278,
归属于母公司所有者的净利润(万元),2665,15915,11077,7088,2369,12900,9542,6381,2406,15288,11475,7339,2505,15944,12697,7798,2420,14142,11104,7077,1999,12770,17581,12693,12774,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,68,--,-181,--,--,--,--,--,--,--,--,--,--,--,--,-225,
少数股东损益(万元),-56,212,-167,-64,-30,-425,-378,-239,-113,-512,-163,-113,-70,-380,-33,-56,-16,614,591,346,-111,729,760,1132,1504,
基本每股收益,0.07,0.4,0.28,0.18,0.06,0.33,0.24,0.16,0.06,0.39,0.29,0.19,0.06,0.47,0.4,0.26,0.08,0.48,0.38,0.24,0.07,0.43,0.6,0.43,0.43,
稀释每股收益,0.07,0.4,0.28,0.18,0.06,0.33,0.24,0.16,0.06,0.39,0.29,0.19,0.06,0.47,0.4,0.26,0.08,0.48,0.38,0.24,0.07,0.43,0.6,0.43,0.43,
