报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),629461,493785,129971,818779,471423,279483,76543,457326,243477,144934,39843,261327,163317,110227,31028,200309,119591,82152,22777,148990,88646,53446,22120,120426,74517,41157,16582,82517,55142,34113,14451,41613,29544,9043,25343,15158,9216,
营业收入(万元),629461,493785,129971,818779,471423,279483,76543,457326,243477,144934,39843,261327,163317,110227,31028,200309,119591,82152,22777,148990,88646,53446,22120,120426,74517,41157,16582,82517,55142,34113,14451,41613,29544,9043,25343,15158,9216,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),594324,453852,139060,744649,430511,256586,80463,414145,222634,133257,43873,241656,152948,102380,34270,181224,109819,75772,25542,132948,80258,47603,19317,98326,61069,33857,13779,66651,44968,28090,12054,34386,24286,7482,20996,12943,8266,
营业成本(万元),463205,364466,96345,612269,348477,208230,58481,334822,173132,103839,27961,191048,116848,78499,23132,138298,81477,56526,16499,103958,62354,37557,15511,83780,51945,28692,11533,56763,38163,23342,9844,28473,20250,6283,17724,10802,6659,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),19775,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),1518,1128,542,3209,2057,1240,602,3315,1881,1649,972,5680,3716,2725,773,5591,3215,2229,694,4283,2681,1621,662,3249,2122,1264,553,2757,1832,1140,481,1373,963,292,830,453,260,
销售费用(万元),9540,6765,3211,10355,4988,2132,811,1554,--,--,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
管理费用(万元),58165,56249,26070,85607,54876,33142,15301,53079,31955,18281,10098,29569,21355,14244,6306,25647,17171,12155,6085,19455,12058,6650,2525,11377,7466,4679,2368,7973,5344,3663,1584,4270,2912,874,2217,1702,1350,
财务费用(万元),41633,25869,13269,30006,18391,11159,5592,16597,12427,7688,3894,14375,10606,6971,3717,11023,7937,4928,2288,4581,3051,1822,716,-161,-509,-515,-383,-1529,-849,-460,78,195,122,23,135,-34,26,
资产减值损失(万元),488,-626,-377,3203,1721,683,-323,4778,3238,1799,878,984,423,-60,342,665,20,-66,-24,669,113,-47,-96,81,45,-263,-291,688,479,405,67,74,40,10,90,20,-29,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
投资收益(万元),7319,5181,1687,11213,6723,5221,3094,13473,11202,8208,3616,13206,8845,5424,2771,10332,7276,4896,2047,10660,7125,4070,1417,2884,2140,1229,627,563,--,--,--,0,0,--,21,0,0,
对联营企业和合营企业的投资收益(万元),-1714,-1306,-701,-879,-1865,-950,-77,2356,3330,3354,347,1175,393,291,211,1535,795,568,--,1500,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
