报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),196289,131783,72054,212690,138410,89537,42662,185347,137248,95357,41981,180966,170874,153982,94404,
营业收入(万元),196289,131783,72054,212690,138410,89537,42662,185347,137248,95357,41981,180966,170874,153982,94404,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),188922,127461,68880,201550,131398,84723,39922,174774,129961,90015,38828,169732,159058,144803,89883,
营业成本(万元),173080,117206,65024,184726,120057,76948,36404,158504,117260,81466,35780,155038,147186,134107,81222,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1203,750,338,2488,1900,1609,1095,4877,3633,2536,1137,4915,4683,5214,3297,
销售费用(万元),1279,815,391,2379,1262,920,383,1913,1341,902,449,1500,1292,995,655,
管理费用(万元),3729,2150,1139,4039,3273,2150,935,2462,1887,1281,767,2258,2275,2839,3407,
财务费用(万元),6309,4566,1950,4142,2990,1894,1085,3638,2445,1534,759,2551,1320,691,508,
资产减值损失(万元),3322,1975,39,3776,1915,1201,21,3381,3394,2296,-64,3470,2302,958,793,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,
投资收益(万元),1166,959,174,25,--,--,--,--,--,--,--,133,--,4,86,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8532,5281,3348,11165,7012,4813,2739,10573,7287,5342,3154,11367,11817,9183,4608,
营业外收入(万元),42,2,2,411,69,50,50,100,50,50,50,220,80,--,9,
营业外支出(万元),68,32,32,333,173,--,--,220,220,200,100,136,84,110,20,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,106,--,0,--,
利润总额(万元),8507,5251,3319,11244,6908,4863,2789,10453,7117,5192,3104,11451,11813,9073,4596,
所得税费用(万元),1371,853,534,3157,1277,929,693,2631,1795,1307,783,2863,3059,2516,1805,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7137,4398,2784,8087,5632,3935,2096,7822,5323,3885,2321,8588,8753,6557,2791,
归属于母公司所有者的净利润(万元),7179,4409,2803,8225,5674,3959,2104,7957,5423,3954,2362,8739,8844,6615,2835,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-43,-11,-18,-138,-43,-25,-8,-135,-100,-69,-41,-151,-90,-58,-43,
基本每股收益,0.88,0.54,0.35,1.08,0.74,0.54,0.31,1.31,0.89,0.65,0.39,1.44,1.45,1.17,--,
稀释每股收益,0.88,0.54,0.35,1.08,0.74,0.54,0.31,1.31,0.89,0.65,0.39,1.44,1.45,1.17,--,
