报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),33575,21224,39184,18290,30655,28015,24574,
营业收入(万元),33575,21224,39184,18290,30655,28015,24574,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),29689,18987,34102,15529,26481,24968,22508,
营业成本(万元),22572,14384,24818,11081,19810,18200,16760,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),260,156,321,158,211,206,161,
销售费用(万元),2676,1575,3018,1472,2170,1727,1579,
管理费用(万元),3457,2360,5116,2408,4173,3322,3080,
财务费用(万元),200,132,100,29,272,526,575,
资产减值损失(万元),524,379,729,379,-156,987,353,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,141,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),4580,2932,5082,2761,4173,3189,2066,
营业外收入(万元),352,220,171,93,406,639,149,
营业外支出(万元),15,11,44,32,33,63,63,
非流动资产处置损失(万元),--,3,4,4,--,29,21,
利润总额(万元),4917,3141,5208,2823,4547,3765,2152,
所得税费用(万元),668,466,708,389,645,521,294,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),4249,2675,4500,2434,3902,3244,1858,
归属于母公司所有者的净利润(万元),4249,2675,4500,2434,3902,3246,1860,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,-2,-2,
基本每股收益,0.83,0.52,0.88,0.48,0.79,0.67,0.38,
稀释每股收益,0.83,0.52,0.88,--,0.79,0.67,0.38,
