报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),215916,124988,360265,271523,174591,103279,283018,233497,148257,88779,258401,211355,130857,73807,225855,178337,109881,244715,250655,209242,
营业收入(万元),215916,124988,360265,271523,174591,103279,283018,233497,148257,88779,258401,211355,130857,73807,225855,178337,109881,244715,250655,209242,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),118390,66322,209126,156290,107970,60542,179680,140374,95213,52805,176463,139737,93902,49741,170438,132372,87192,189606,189597,156145,
营业成本(万元),55296,31567,97650,75932,49068,28097,77997,63969,42244,24691,77953,63097,41496,22820,73202,58537,37308,90724,95950,79191,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),34870,19434,61816,47833,32070,18163,46748,37195,24573,14636,41063,33454,21688,11912,35521,27975,17397,38939,41691,33107,
销售费用(万元),19831,11098,31867,20409,18248,10425,36082,25138,18494,8905,35812,27377,20107,9540,40517,30149,21471,41573,36091,30856,
管理费用(万元),8735,4404,18523,12771,8713,3883,18741,14164,9717,4690,19187,14547,9541,4988,17862,13272,9053,15531,13887,11657,
财务费用(万元),-350,-205,-1017,-786,-275,-101,-534,-479,-171,-40,622,877,719,377,1737,1230,753,1311,1290,1246,
资产减值损失(万元),9,23,288,131,146,75,645,387,356,-78,1825,385,351,105,1599,1209,1211,1528,687,88,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),2209,894,4794,3130,2025,868,2245,1559,849,384,30,--,--,--,535,436,262,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),99786,59611,156074,118381,68663,43605,105582,94681,53893,36358,81969,71618,36955,24065,55952,46401,22951,55109,61058,53097,
营业外收入(万元),229,181,320,312,54,51,544,484,327,54,410,196,108,117,399,218,93,581,827,264,
营业外支出(万元),64,58,266,86,84,6,122,106,100,3,346,148,73,29,346,314,114,696,311,430,
非流动资产处置损失(万元),--,--,--,72,72,--,111,95,88,11,79,64,64,25,48,16,16,401,93,--,
利润总额(万元),99951,59734,156128,118606,68633,43649,106004,95060,54120,36410,82033,71667,36990,24154,56005,46305,22930,54994,61574,52931,
所得税费用(万元),26620,14867,44762,28506,16047,10947,27658,23820,13628,9338,21493,17784,9830,6626,13791,10980,5686,15177,15977,13262,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),73332,44868,111366,90101,52586,32703,78346,71240,40492,27072,60540,53883,27161,17528,42214,35325,17244,39817,45597,39669,
归属于母公司所有者的净利润(万元),73332,44868,111366,90101,52586,32703,78346,71240,40492,27072,60540,53883,27161,17528,42214,35325,17244,39817,45597,39669,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,1.22,0.75,1.86,1.5,0.88,0.55,1.31,1.19,0.67,0.45,1.06,0.96,0.5,0.31,0.78,0.65,0.32,0.74,0.84,0.73,
稀释每股收益,--,--,--,--,--,--,--,1.19,0.67,--,1.06,0.96,0.5,--,0.78,0.65,0.32,0.74,0.84,--,
