报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),180680,127004,77485,33592,211275,138453,91383,41987,256586,172305,102651,42581,235815,166504,94725,33069,223391,149130,81485,30846,178039,111466,68039,29478,154341,110020,67802,28320,128128,60722,104166,81965,82388,
营业收入(万元),180680,127004,77485,33592,211275,138453,91383,41987,256586,172305,102651,42581,235815,166504,94725,33069,223391,149130,81485,30846,178039,111466,68039,29478,154341,110020,67802,28320,128128,60722,104166,81965,82388,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),168367,121643,74425,32288,206407,134709,88902,40742,249821,168973,101928,42562,236916,168270,94516,32922,211308,140745,75904,28023,157694,96396,58358,26216,137873,97647,59932,25362,114073,53617,91950,72708,74986,
营业成本(万元),155737,113410,69712,30421,193677,125372,82275,38013,233005,156694,94055,39692,216313,151946,86176,30168,196372,130168,69532,26336,147533,93804,57028,24896,132074,93279,57190,23970,109612,51552,88548,70358,72206,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5096,3745,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1252,802,524,250,1506,1016,778,309,1740,848,465,111,935,679,384,127,904,574,289,104,623,390,229,101,589,429,269,116,494,215,84,35,29,
销售费用(万元),1487,938,517,228,1099,825,524,255,1036,667,351,153,861,666,403,182,939,757,424,152,628,465,242,122,491,351,209,84,429,212,371,218,296,
管理费用(万元),6975,4553,5432,2484,11386,8658,5728,2370,12447,9347,5949,2216,12322,9168,5544,1940,11644,7904,4746,1483,9618,2932,1851,899,3995,2800,1726,825,2597,1319,2428,1696,1801,
财务费用(万元),-2669,-1822,-1619,-767,-1240,-790,-348,-116,1853,1627,1168,511,6257,5202,1635,759,1274,1294,725,-23,-1368,-1260,-1279,-52,498,713,424,241,934,328,547,468,885,
资产减值损失(万元),490,17,-142,-327,-21,-372,-56,-89,-259,-210,-59,-122,228,609,374,-254,175,48,188,-29,660,66,288,249,227,244,283,126,6,-9,-29,-67,-232,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),57,-131,-64,-30,-104,-52,-67,-13,59,61,89,13,259,251,230,58,766,682,556,143,408,281,206,--,169,169,169,--,338,338,56,125,100,
对联营企业和合营企业的投资收益(万元),41,-146,-80,-46,-152,-101,-79,-24,-28,-26,2,10,64,55,35,21,79,65,59,4,-16,206,206,--,169,169,169,--,338,338,56,125,100,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13961,6711,4165,1341,5493,4426,2998,1233,6824,3393,812,31,-842,-1516,439,205,12848,9067,6137,2966,20753,15351,9887,3262,16636,12373,7871,2958,14393,7442,12272,9382,7503,
营业外收入(万元),1,1,1,1,--,2,2,152,831,546,340,44,2377,1434,1152,138,1322,1436,833,312,337,310,47,40,534,363,7,5,301,222,277,127,417,
营业外支出(万元),304,304,303,200,115,169,52,15,242,78,71,16,39,36,32,17,191,194,146,0,140,97,69,--,71,32,32,--,278,278,174,156,230,
非流动资产处置损失(万元),--,--,--,--,--,54,38,5,20,6,5,3,17,14,10,--,8,11,4,0,125,97,69,--,7,--,--,--,--,--,109,--,17,
利润总额(万元),13658,6408,3863,1142,5377,4259,2948,1370,7412,3861,1080,59,1496,-117,1559,326,13979,10309,6824,3278,20950,15564,9865,3302,17099,12704,7846,2963,14416,7385,12375,9353,7690,
所得税费用(万元),2084,893,492,202,863,802,531,241,1100,597,120,-19,166,-153,139,8,1984,1348,885,467,3203,2398,1537,501,2556,1882,1150,446,2117,1064,1719,1306,1068,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11574,5516,3371,941,4514,3457,2417,1129,6312,3264,961,77,1330,36,1420,318,11995,8962,5939,2811,17748,13166,8328,2802,14543,10823,6696,2517,12299,6322,10656,8047,6622,
归属于母公司所有者的净利润(万元),11574,5516,3371,941,4514,3457,2417,1129,6312,3264,961,77,1330,36,1420,318,11995,8962,5939,2811,17748,13166,8328,2802,14543,10823,6696,2517,12299,6322,10656,8047,6622,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.38,0.18,0.11,0.03,0.15,0.11,0.08,0.04,0.24,0.13,0.04,0,0.05,0,0.06,0.01,0.49,0.37,0.24,0.12,0.74,0.55,0.35,0.12,0.68,0.52,0.35,0.14,0.68,0.35,0.59,0.45,0.37,
稀释每股收益,0.38,0.18,0.11,0.03,0.15,0.11,0.08,0.04,0.24,0.13,0.04,0,0.05,0,0.06,0.01,0.49,0.37,0.24,0.12,0.74,0.55,0.35,0.12,0.68,0.52,0.35,0.14,0.68,0.35,0.59,0.45,0.37,
