报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),36885,24017,44874,31481,10949,39456,32936,21270,
营业收入(万元),36885,24017,44874,31481,10949,39456,32936,21270,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),21309,14197,24553,16029,5429,31663,16397,11935,
营业成本(万元),10795,6716,11736,7465,2462,9316,8774,6255,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),614,398,651,478,189,612,170,101,
销售费用(万元),5088,3688,5920,3884,1411,3990,3272,2098,
管理费用(万元),3834,2782,5923,3527,924,16989,3741,2838,
财务费用(万元),-163,-111,-454,4,5,224,178,235,
资产减值损失(万元),1141,725,778,670,438,532,263,408,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),-11,9,--,50,--,--,0,--,
对联营企业和合营企业的投资收益(万元),-11,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),16592,10856,22197,16596,5521,8691,16539,9335,
营业外收入(万元),686,266,938,95,1103,230,302,334,
营业外支出(万元),7,0,8,2,1,19,254,276,
非流动资产处置损失(万元),0,0,5,0,0,4,156,--,
利润总额(万元),17270,11122,23128,16689,6622,8902,16587,9394,
所得税费用(万元),2738,1855,3526,2653,1011,1482,2447,1408,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),14532,9267,19602,14036,5611,7421,14140,7986,
归属于母公司所有者的净利润(万元),14654,9554,19630,13793,5547,7496,14157,7986,
被合并方在合并前实现净利润(万元),--,--,-450,--,--,14,--,--,
少数股东损益(万元),-122,-287,-28,243,64,-75,-17,0,
基本每股收益,0.41,0.27,0.55,0.38,0.16,0.23,2.38,1.6,
稀释每股收益,0.41,0.27,0.55,0.38,0.16,0.23,2.38,1.6,
