报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),14058,60050,41776,28103,11420,33696,14899,6909,1450,17097,8835,6439,1297,16939,7038,5506,16716,13046,11326,
营业收入(万元),14058,60050,41776,28103,11420,33696,14899,6909,1450,17097,8835,6439,1297,16939,7038,5506,16716,13046,11326,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),12936,55133,39154,26047,10959,26758,13170,5623,1675,13238,7952,5218,1272,11964,5940,4395,11467,9117,6670,
营业成本(万元),8752,38176,27682,18809,8061,19159,9388,3934,970,9684,5072,3476,726,9185,4141,3206,8226,6202,5168,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),72,271,186,142,30,231,53,42,7,132,68,55,11,146,46,35,152,117,83,
销售费用(万元),705,2451,1953,1412,634,1038,416,156,85,326,232,171,115,222,164,91,220,255,212,
管理费用(万元),2934,10665,6896,4491,1845,6156,3354,1661,753,2739,1861,1098,562,2234,1469,1025,2151,2001,1196,
财务费用(万元),370,1720,1510,846,247,-313,-149,-151,-71,29,97,98,48,229,166,105,242,187,23,
资产减值损失(万元),103,1849,927,347,142,488,108,-20,-68,327,621,321,-191,-52,-46,-66,477,354,-11,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-102,136,-0,10,-49,202,33,33,25,29,--,--,--,--,--,--,--,-4,0,
对联营企业和合营企业的投资收益(万元),-102,--,--,--,-49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1174,7001,3093,2365,411,7140,1762,1319,-200,3889,884,1221,26,4975,1098,1111,5249,3926,4656,
营业外收入(万元),--,0,1150,938,914,832,508,396,336,1661,1514,1024,526,1166,953,577,1065,1022,300,
营业外支出(万元),17,7,334,1,--,11,1,0,0,7,7,1,1,1,1,1,10,3,2,
非流动资产处置损失(万元),--,--,282,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,
利润总额(万元),1158,6994,3910,3302,1325,7961,2269,1714,136,5544,2391,2244,551,6139,2050,1687,6303,4945,4954,
所得税费用(万元),571,1179,1053,918,382,1283,467,282,13,607,277,271,95,654,258,174,765,-10,317,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),587,5815,2857,2384,943,6678,1802,1432,123,4937,2114,1973,456,5486,1791,1513,5538,4955,4637,
归属于母公司所有者的净利润(万元),616,4843,2634,2409,944,5906,1763,1389,121,4763,2065,1941,357,5394,1786,1535,5570,4966,4650,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-30,972,223,-25,-1,772,40,42,2,174,49,32,99,92,6,-22,-32,-11,-13,
基本每股收益,0.03,0.26,0.14,0.13,0.05,0.34,0.1,0.08,0.01,0.63,0.29,0.29,0.06,0.86,0.28,0.24,0.88,0.79,0.8,
稀释每股收益,0.03,0.26,0.14,0.13,0.05,0.34,0.1,0.08,0.01,0.63,0.29,0.29,0.06,0.86,0.28,0.24,0.88,0.79,0.8,
