报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),6121,55145,48133,32015,19244,35605,25329,13225,6003,52380,38646,22306,5051,67997,37899,30738,19331,117660,97152,44930,17096,106848,80159,53841,21280,140031,107234,74702,33975,123779,74706,37194,13888,74693,56212,38502,13842,51751,35247,21790,7955,77058,60842,44640,16797,85410,44950,23062,7713,54259,37595,21274,8436,
营业收入(万元),6121,55061,48074,31976,19223,35520,25329,13225,6003,52320,38646,22306,5051,67974,37899,30738,19331,117660,97152,44930,17096,106848,80159,53841,21280,140031,107234,74702,33975,123779,74706,37194,13888,74693,56212,38502,13842,51751,35247,21790,7955,77058,60842,44640,16797,85410,44950,23062,7713,54259,37595,21274,8436,
利息收入(万元),--,79,59,38,20,80,--,--,--,59,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,5,--,--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,
营业总成本(万元),7063,60295,47115,32810,20115,48725,33343,18309,7761,55662,40717,24023,5878,74431,46181,36701,20802,125042,98790,48171,18416,101881,75398,50186,17885,136297,104856,73125,34460,99791,57533,32034,13027,70475,49088,33064,13319,38686,27619,16782,6673,59208,44248,35025,14322,75404,39001,20616,6892,48598,32669,18558,7486,
营业成本(万元),4430,43685,38464,27292,16689,31453,22947,11385,5115,43260,31942,18578,4375,52904,33015,26668,17148,104818,84760,41166,15198,82794,61231,40561,13890,120472,93356,65454,30996,81934,47048,26291,8958,46484,35484,23502,10000,28849,20036,11962,4794,38218,28404,22848,8679,55072,27019,13395,4357,35624,23661,13139,4779,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,--,0,0,0,
