报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),32081,23550,41987,31017,23298,8669,32909,22304,15913,6118,15122,10195,7122,3438,15884,10917,7237,3035,18439,13520,22600,32096,5815,19729,13302,12549,
营业收入(万元),32081,23550,41987,31017,23298,8669,32909,22304,15913,6118,15122,10195,7122,3438,15884,10917,7237,3035,18439,13520,22600,32096,5815,19729,13302,12549,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),15102,9457,27722,19609,14935,6391,28460,19780,14347,5809,14800,9792,6276,2810,12328,8443,5706,2472,15215,11931,13502,14805,1921,11759,11281,10395,
营业成本(万元),11232,7408,17900,13851,11319,4785,20725,14436,10385,4535,9576,5543,3503,1509,6655,4717,3221,1412,10117,8320,6277,6452,894,7578,7523,8608,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),403,163,619,291,206,22,403,86,51,20,39,24,8,4,144,75,44,17,212,139,155,344,136,120,191,181,
销售费用(万元),504,227,1293,606,390,187,1174,861,636,119,1074,673,340,160,1189,901,760,250,916,757,3036,2120,197,627,688,553,
管理费用(万元),2923,1174,6882,4346,2619,1306,5746,4315,3097,1047,4169,3335,2118,1123,4217,2880,1760,887,3889,2665,4742,5027,499,2224,1566,1091,
财务费用(万元),62,346,791,621,325,126,-571,-195,-150,23,-234,-149,-69,-50,-192,-155,-93,-53,-77,-64,-273,160,222,897,1162,1049,
资产减值损失(万元),-22,139,237,-105,74,-35,983,277,327,65,177,365,376,65,314,24,14,-41,159,114,-436,703,-26,312,152,-1088,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),590,74,242,173,137,27,9,7,7,7,356,301,237,92,559,459,305,169,290,125,45,--,0,0,0,64,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),17648,14107,15053,11967,8738,2304,4458,2531,1574,315,679,704,1083,720,4115,2933,1836,733,3513,1714,9142,17291,3894,7970,2021,2218,
营业外收入(万元),154,151,100,102,48,138,808,626,300,169,594,411,217,63,609,380,161,107,622,459,932,325,18,183,164,323,
营业外支出(万元),1,0,4,29,10,0,195,9,2,0,95,17,14,4,366,138,87,74,147,7,86,87,14,245,79,33,
非流动资产处置损失(万元),--,--,--,29,10,0,195,9,1,--,86,8,5,4,340,118,86,74,147,7,85,38,6,205,14,8,
利润总额(万元),17801,14258,15148,12040,8776,2442,5071,3148,1872,484,1178,1099,1286,779,4359,3175,1909,766,3988,2167,9988,17529,3898,7908,2106,2509,
所得税费用(万元),2487,2068,2108,1725,1257,388,694,485,299,62,-30,175,201,112,643,723,423,175,345,85,1591,2760,585,1023,429,825,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),15314,12190,13040,10315,7519,2054,4377,2663,1573,422,1207,924,1085,667,3715,2452,1487,591,3643,2082,8397,14769,3313,6885,1677,1684,
