报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),629245,396347,803396,627383,775031,309947,748185,737953,555771,
营业收入(万元),629245,396347,803396,627383,775031,309947,748185,737953,555771,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),540990,335250,713946,547907,689179,259718,666222,676552,512403,
营业成本(万元),406402,251174,539997,429185,530756,188301,516954,539570,374270,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),3896,2654,5160,1637,2767,1356,2350,3847,3434,
销售费用(万元),51513,33584,69504,47272,61804,24138,55988,48992,46854,
管理费用(万元),71554,43569,93887,60378,91260,38841,83336,76447,78351,
财务费用(万元),-463,-667,-2346,-1640,-764,252,-6,1771,731,
资产减值损失(万元),8089,4935,7744,11075,3355,6831,7600,5926,8762,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),1124,1039,2356,1021,2444,338,1636,2251,510,
对联营企业和合营企业的投资收益(万元),-49,-41,-24,-17,-36,-32,2,-47,-19,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),95084,67370,91806,80497,88296,50567,83600,63652,43878,
营业外收入(万元),1370,344,14728,4297,11175,2721,11551,11019,10188,
营业外支出(万元),587,523,1643,720,1064,278,1603,849,1244,
非流动资产处置损失(万元),75,73,445,72,122,53,62,108,337,
利润总额(万元),95868,67191,104891,84075,98408,53010,93548,73822,52822,
所得税费用(万元),-160,-101,143,-21,-0,11,76,364,2579,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),96027,67293,104749,84096,98408,52998,93473,73458,50243,
归属于母公司所有者的净利润(万元),96440,67529,104730,84046,98421,53005,93696,73387,50316,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-412,-236,19,49,-13,-7,-223,70,-72,
基本每股收益,0.53,0.37,0.58,0.46,0.54,0.29,0.51,0.42,0.41,
稀释每股收益,0.53,0.37,0.58,0.46,0.54,0.29,0.51,0.42,0.41,
