报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),35095,21433,42179,32111,42293,40859,31819,
营业收入(万元),35095,21433,42179,32111,42293,40859,31819,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),23360,14530,31852,22753,34401,33547,27058,
营业成本(万元),11152,6925,14733,10303,14311,13931,10856,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),568,357,1208,630,2282,2381,1423,
销售费用(万元),4370,2952,5686,4006,6187,5982,5080,
管理费用(万元),5753,3333,7378,5518,7533,7530,6455,
财务费用(万元),1507,936,2849,2302,4086,3860,3084,
资产减值损失(万元),10,27,-2,-5,3,-137,160,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),15,15,76,76,18,22,108,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),11751,6919,10403,9433,7910,7334,4869,
营业外收入(万元),141,81,235,199,435,1113,624,
营业外支出(万元),27,23,99,--,108,82,104,
非流动资产处置损失(万元),23,23,--,--,28,--,8,
利润总额(万元),11864,6976,10539,9632,8237,8365,5389,
所得税费用(万元),2962,1738,2514,2322,1966,1977,1732,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),8902,5238,8025,7309,6271,6388,3657,
归属于母公司所有者的净利润(万元),7828,4415,6929,6469,5403,5693,3075,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),1074,823,1096,840,867,695,581,
基本每股收益,1.3,0.74,1.15,1.08,0.9,0.95,0.51,
稀释每股收益,1.3,0.74,1.15,1.08,0.9,0.95,0.51,
