报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),19790,83050,68174,48796,23027,98665,79647,56427,27692,76991,60519,41427,19718,70250,64707,39190,16832,58318,44306,30162,13360,56331,44945,29996,10885,55911,50294,45319,27547,
营业收入(万元),19790,83050,68174,48796,23027,98665,79647,56427,27692,76991,60519,41427,19718,70250,64707,39190,16832,58318,44306,30162,13360,56331,44945,29996,10885,55911,50294,45319,27547,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),19580,88034,68592,49729,24668,98671,78672,55492,27395,76255,60218,40758,19128,66051,60528,35982,15543,53912,40826,27684,12541,51614,41136,27517,10331,49317,44371,40275,24125,
营业成本(万元),17154,78471,62413,45275,21856,88440,71261,50632,25460,67984,53030,35694,17000,59710,55975,32833,14194,48238,36614,24860,11012,45076,36188,24279,9029,44625,39950,36554,21959,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
