报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),10904,55513,36074,24479,8245,37306,25949,20157,8185,34450,24320,19152,7999,31949,22270,17171,7029,28782,25918,19665,
营业收入(万元),10904,55513,36074,24479,8245,37306,25949,20157,8185,34450,24320,19152,7999,31949,22270,17171,7029,28782,25918,19665,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),9684,46581,31970,20860,6958,31453,21757,16549,6845,28820,20611,15905,7021,26087,18562,13943,5904,23407,20903,15372,
营业成本(万元),5956,33210,22615,15444,5258,23678,16467,12934,5206,22458,15745,12401,5183,20315,14476,11034,4405,18529,16413,12390,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),109,650,405,356,56,320,158,144,24,188,156,139,48,177,118,107,41,142,157,77,
销售费用(万元),1524,5444,3300,1793,419,1917,1434,955,503,1958,1536,1008,521,1786,1272,841,443,1353,1119,832,
管理费用(万元),2126,7124,5383,3190,1279,4946,3558,2313,1126,3829,2774,1995,1149,3390,2453,1725,904,3233,3006,2005,
财务费用(万元),-49,-194,-98,-65,-18,-164,-148,-72,-30,-13,12,32,33,129,71,53,4,-10,6,-25,
资产减值损失(万元),18,347,364,141,-37,756,288,275,16,400,389,329,87,292,172,184,106,160,203,93,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-14,271,81,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-40,152,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1422,10185,4508,3773,1287,5853,4192,3607,1340,5629,3708,3247,977,5861,3709,3228,1126,5374,5015,4293,
营业外收入(万元),5,154,199,183,62,341,124,61,38,602,389,338,262,258,164,74,18,346,223,261,
营业外支出(万元),16,39,12,0,0,7,5,5,5,0,0,0,0,16,13,5,0,2,6,32,
非流动资产处置损失(万元),--,--,0,0,0,7,5,5,5,0,0,0,0,13,13,--,0,1,--,0,
利润总额(万元),1410,10300,4695,3956,1349,6187,4311,3663,1373,6231,4097,3585,1240,6103,3859,3296,1144,5719,5232,4523,
所得税费用(万元),230,1407,640,516,207,814,710,588,249,872,624,545,170,895,606,484,213,847,719,646,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1180,8893,4055,3440,1142,5374,3601,3075,1123,5359,3473,3040,1069,5208,3253,2813,931,4871,4513,3877,
归属于母公司所有者的净利润(万元),1197,8960,4119,3465,1142,5374,3601,3075,1123,5359,3473,3040,1069,5208,3253,2813,931,4871,4513,3877,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-16,-67,-64,-25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.07,0.52,0.39,0.34,0.12,0.55,0.37,0.32,0.12,0.59,0.62,0.57,0.23,1.14,0.71,0.62,0.2,1.07,0.99,0.85,
稀释每股收益,0.07,0.52,0.39,0.34,0.12,0.55,0.37,0.32,0.12,0.59,0.62,0.57,0.23,1.14,0.71,0.62,0.2,1.07,0.99,0.85,
