报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,
营业总收入(万元),3071015,2117616,1013710,4320523,3126795,2132482,1028525,4608559,3383724,2371054,985412,4384897,3102687,2093029,1036894,4949448,3644943,2496453,1226635,4424372,3274688,2203071,1157443,3947090,2985516,1915465,929962,2561404,1978966,1084572,506022,1800547,1331789,861553,1559316,1078676,699343,283940,1321210,
营业收入(万元),3071015,2117616,1013710,4320523,3126795,2132482,1020681,4608559,3360412,2371054,976863,4384897,3076976,2093029,1024827,4949448,3630730,2496453,1222254,4424372,3257417,2203071,1153881,3947090,2966133,1915465,924842,2561404,1967193,1084572,503155,1800547,1325410,854482,1559316,1072667,696305,283733,1321210,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,7844,--,23312,--,8549,--,25710,--,12067,--,14213,--,4380,--,17271,--,3562,--,19382,--,5120,--,11773,0,2867,--,6379,7071,--,601,3038,207,0,
营业总成本(万元),3047968,2100505,1008125,4280544,3099103,2109602,1023078,4570322,3355670,2346704,980470,4370504,3089403,2076656,1031006,4901488,3603792,2468396,1210670,4375553,3229055,2171433,1140682,3888849,2932926,1878997,914570,2531563,1953319,1068587,499527,1774021,1312782,850003,1546115,1061475,687628,281295,1306076,
营业成本(万元),2918125,2009468,962207,4067385,2939144,1991311,943082,4226648,3085248,2160973,890349,4039065,2830781,1912694,944446,4584287,3360325,2299515,1129057,4103844,3011487,2023862,1062043,3638700,2738356,1758640,857862,2382408,1831414,998234,466812,1664565,1228864,791749,1451312,994350,643950,263879,1222366,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,--,0,0,0,0,
