报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),15186,9882,4150,14407,10438,7039,2877,13058,10306,7984,2847,14052,10794,7811,5897,
营业收入(万元),15186,9882,4150,14407,10438,7039,2877,13058,10306,7984,2847,14052,10794,7811,5897,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),11861,7648,3383,11513,7688,5149,2283,8888,6950,4987,2241,8110,6222,4255,3261,
营业成本(万元),4791,2992,1187,4218,3140,2128,874,4024,3235,2495,941,3750,2830,1932,1286,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),307,258,138,167,112,83,36,150,110,87,20,163,121,103,82,
销售费用(万元),1489,1006,424,1688,1036,732,341,1516,1134,750,407,1398,1011,758,550,
管理费用(万元),5213,3323,1640,5544,3540,2198,1082,3193,2460,1622,895,2949,2299,1518,1405,
财务费用(万元),-18,-20,-22,-131,-138,-70,-26,-118,-72,-50,-23,-217,-112,-121,-80,
资产减值损失(万元),79,89,16,27,-3,78,-24,123,83,83,--,68,72,65,18,
公允价值变动收益(万元),1303,711,-77,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),2013,704,448,41,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7366,4072,1138,2935,2749,1890,593,4170,3357,2997,606,5942,4572,3556,2636,
营业外收入(万元),396,393,177,1994,1404,1139,391,1726,1539,498,0,1128,638,481,550,
营业外支出(万元),--,--,--,--,--,--,--,--,--,--,--,2,6,1,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,2,--,1,--,
利润总额(万元),7762,4464,1315,4929,4153,3029,984,5896,4895,3495,606,7068,5204,4037,3186,
所得税费用(万元),845,534,201,493,623,354,148,727,734,441,91,922,686,622,380,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6916,3930,1114,4436,3530,2675,837,5169,4161,3053,515,6146,4519,3415,2806,
归属于母公司所有者的净利润(万元),6916,3930,1114,4436,3530,2675,837,5169,4161,3053,515,6146,4519,3415,2806,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,1.22,0.69,0.2,0.84,0.68,0.55,0.19,1.15,0.92,0.68,0.11,1.37,1,0.76,0.66,
稀释每股收益,1.22,0.69,0.2,0.84,0.68,0.55,--,1.15,0.92,0.68,--,1.37,1,0.76,0.66,
