报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),31416,126543,95286,64433,32325,112886,80048,52379,26557,89860,62977,41983,20866,69844,50414,34621,16684,62755,45123,29662,14441,53174,38511,25787,12540,43886,31820,21135,10009,38310,27068,17617,30878,21804,16488,
营业收入(万元),31416,126543,95286,64433,32325,112886,80048,52379,26557,89860,62977,41983,20866,69844,50414,34621,16684,62755,45123,29662,14441,53174,38511,25787,12540,43886,31820,21135,10009,38310,27068,17617,30878,21804,16488,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24043,98718,70574,47437,24693,85334,58759,37985,19641,68108,47601,31827,15769,53788,38866,27028,12910,48802,34929,22905,11045,39852,28830,19586,9560,31460,22550,15002,7008,29061,20530,13115,23043,17553,14864,
营业成本(万元),19535,78241,57639,38068,19309,66500,46641,29677,15257,53369,37556,25133,12680,42548,30511,21178,10243,38686,27578,18222,8698,31684,23180,16024,7791,24895,17807,11771,5518,22143,15708,10064,16892,12406,10329,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1281,6143,3987,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),491,1410,1115,612,429,1289,877,589,397,1050,495,318,205,436,124,99,38,320,288,245,138,411,268,211,100,426,298,217,102,337,216,111,139,168,10,
销售费用(万元),684,3120,2521,2079,1173,4135,2622,1816,1163,3046,1947,1296,585,1715,1186,802,379,1581,1085,668,353,1651,1193,814,430,1324,985,680,418,1392,943,660,1462,1170,897,
管理费用(万元),1150,4937,4385,5672,2490,9934,7109,4974,2478,9085,6749,4440,2097,7325,5902,4057,1885,6975,5245,3183,1645,5211,3671,2268,1226,4438,3329,2171,1007,4003,2409,1488,2924,2466,1870,
财务费用(万元),1029,1440,866,917,1281,1954,1369,765,296,703,477,368,315,1292,1048,696,364,1150,740,506,276,690,442,194,25,-18,-92,-60,-36,1327,1377,853,1359,1136,1639,
资产减值损失(万元),-127,3426,62,88,11,1522,141,165,51,855,377,272,-114,472,95,196,2,89,-7,80,-65,206,76,75,-12,396,223,223,--,-140,-122,-60,267,206,120,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,25,25,25,10,14,14,14,--,24,24,24,10,17,17,17,3,37,37,37,22,41,41,41,15,41,41,41,14,31,31,31,20,27,66,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
