报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
营业总收入(万元),3084858,2211863,782350,198767,1528971,1139329,654380,175861,1233515,907595,525949,144001,1110825,852139,511223,150909,1566474,1198980,707077,214038,1571073,1153972,655101,161314,1461334,1109921,638010,191488,1572817,1203389,714299,221461,1106410,800629,458036,126382,693773,483040,251937,61431,456873,343736,223187,69684,386041,256384,142683,38338,291184,198315,111735,37488,245062,
营业收入(万元),3084858,2211863,782350,198767,1528971,1139329,654380,175861,1233515,907595,525949,144001,1110825,852139,511223,150909,1566474,1198980,707077,214038,1571073,1153972,655101,161314,1461334,1109921,638010,191488,1572817,1203389,714299,221461,1106410,800629,458036,126382,693773,483040,251937,61431,456873,343736,223187,69684,386041,256384,142683,38338,291184,198315,111735,37488,245062,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2798889,1982521,734703,259743,1517365,1101827,657191,223034,1320327,963374,622160,226244,1389037,1044132,657281,229499,1659388,1243597,755653,270248,1596325,1173133,695530,221461,1501245,1114129,643070,223756,1410789,1034181,615609,215739,965827,685175,404549,130754,619351,421655,229840,67033,430550,315040,210330,73028,350853,230013,132993,42488,278260,190733,109024,40134,239809,
营业成本(万元),2139788,1529091,507528,146834,1072921,805542,466568,138261,935331,709314,453375,146546,940603,728557,454083,145256,1238112,953228,575864,189603,1170762,871667,513449,145238,1115634,842525,481459,154241,1089803,815188,484118,161311,755843,547371,318515,95867,473796,323907,172320,45715,326136,256948,169033,55640,282272,185049,105153,31756,224059,151823,85832,30309,188833,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),4495,4756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),45971,34623,14963,5045,21556,16254,9759,3676,14732,5838,3151,658,6398,4758,3427,715,8199,6067,3209,757,9315,7512,3714,422,8833,6631,3348,594,10101,8257,4118,727,7478,5616,3213,579,4780,3230,1512,323,3989,3087,1786,455,3422,2360,1140,242,2574,1762,1001,274,1753,
销售费用(万元),108248,74284,25887,10304,61916,45271,27360,8494,45484,32130,18972,7280,40541,28776,17488,7254,41923,28528,16270,7967,68679,51558,30281,11792,57817,43164,25619,10330,47886,33761,19729,8185,40352,28130,17018,6896,26425,17761,9930,4118,19965,15044,10533,4116,19896,13492,8466,3071,15090,10437,6082,2428,19670,
管理费用(万元),355236,239258,130671,70256,239606,144225,92739,45243,167414,122018,83332,40481,230015,171971,109174,44793,216196,147070,88764,39923,197616,137968,80008,35331,191014,130912,76034,34474,168517,109474,65176,28029,106198,66716,40716,17047,84776,53047,32610,12882,52616,20712,14551,6739,24324,14838,9141,3710,19216,14551,8521,3751,14095,
