报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),37205,19154,11004,6035,29279,19020,10056,5258,32540,20146,11054,4015,23728,13102,8311,3573,19414,10750,6648,2113,18021,--,7301,1587,15500,11150,7848,5183,
营业收入(万元),37205,19154,11004,6035,29279,19020,10056,5258,32540,20146,11054,4015,23728,13102,8311,3573,19414,10750,6648,2113,18021,--,7301,1587,15500,11150,7848,5183,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),28875,18660,12083,5859,63301,17210,10454,5689,24283,16854,10787,4391,18902,12780,8855,4850,16437,12184,8524,3801,15548,--,7236,3481,12874,9402,7046,4771,
营业成本(万元),9149,5038,2524,699,7403,4782,1984,1005,7212,4365,2108,254,3753,1159,608,225,397,40,38,2,387,--,159,0,228,776,432,182,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),7037,5483,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),510,202,90,33,394,227,141,69,542,272,134,52,368,194,122,42,379,198,120,35,326,--,134,25,320,257,174,131,
销售费用(万元),5686,3698,2513,1575,4382,3802,2619,1491,5576,4373,3055,1580,6135,4436,3115,1786,6422,4899,3393,1572,5360,--,2579,1375,4637,3573,2348,1433,
管理费用(万元),6322,4342,6895,3460,11360,8002,5331,3088,10048,7629,4841,2645,7301,6549,4603,2800,8212,6433,4576,2219,8639,--,4222,2004,6976,4564,3926,3034,
财务费用(万元),-638,-875,-566,-172,-916,-553,-169,-52,-508,-176,-86,-40,-232,-137,-47,-19,242,238,170,86,341,--,171,77,163,30,13,15,
资产减值损失(万元),809,772,627,264,40678,950,547,88,1413,390,734,-100,1577,578,454,16,786,376,228,-113,495,--,-29,--,549,202,152,-24,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-30,--,--,--,-396,-1,-1,--,20,22,22,--,3,8,--,--,1,-23,-23,--,10,--,-6,--,-18,3,-15,25,
对联营企业和合营企业的投资收益(万元),-30,--,--,--,-396,-1,--,--,-2,--,--,--,-4,--,--,--,1,-23,-23,--,10,--,-6,--,-18,3,-15,25,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),12663,1743,-226,611,-31334,3530,718,-431,8276,3314,289,-376,4829,330,-543,-1277,2977,-1456,-1898,-1689,2484,--,59,-1893,2608,1750,787,437,
营业外收入(万元),1,160,27,--,1417,256,1,806,4472,2359,1488,897,3490,1982,1558,950,3414,2135,1565,223,2364,--,1268,640,2039,2104,2392,1253,
营业外支出(万元),18,3,3,--,19,4,4,0,158,1,--,--,91,12,12,2,125,20,20,--,3,--,0,--,10,9,13,3,
非流动资产处置损失(万元),--,--,--,--,--,4,4,--,129,1,--,--,78,--,--,--,78,7,7,--,3,--,0,--,--,9,12,3,
利润总额(万元),12646,1900,-202,611,-29936,3782,714,375,12590,5672,1778,521,8228,2299,1002,-329,6267,658,-353,-1465,4844,--,1326,-1254,4637,3845,3166,1687,
所得税费用(万元),429,-346,-363,282,793,-22,-32,64,1453,1168,476,190,1159,536,315,260,555,-20,-42,17,296,--,-74,--,635,-60,235,94,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),12217,2247,161,329,-30729,3803,746,311,11136,4504,1302,330,7069,1763,687,-590,5712,678,-311,-1482,4548,--,1400,-1254,4002,3905,2931,1594,
归属于母公司所有者的净利润(万元),12217,2247,161,329,-30729,3803,746,311,11136,4504,1302,330,7069,1763,687,-590,5712,678,-311,-1482,4548,747,1400,-1254,4002,3905,2931,1594,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.44,0.08,0.01,0.01,-1.11,0.14,0.03,0.02,0.88,0.37,0.11,0.03,0.61,0.15,0.06,-0.1,1.12,0.13,-0.06,-0.29,1.01,--,0.31,-0.28,0.89,0.87,0.65,0.4,
稀释每股收益,0.44,0.08,0.01,0.01,-1.11,0.14,0.03,0.02,0.88,0.37,0.11,0.03,0.61,0.15,0.06,-0.1,1.12,0.13,-0.06,-0.29,1.01,--,0.31,-0.28,0.89,0.87,0.65,0.4,
