报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),162095,119039,68227,24510,178391,131745,72586,27169,166934,123476,73212,30149,166462,122304,65622,21573,148991,111071,62182,21858,129409,119870,69544,24225,184141,140512,74848,18953,160123,123841,67757,17518,144499,102815,57186,13054,112792,88250,46505,12075,111818,80731,43382,10620,104088,72715,41389,9702,86494,63501,34980,7072,
营业收入(万元),162095,119039,68227,24510,178391,131745,72586,27169,166934,123476,73212,30149,166462,122304,65622,21573,148991,111071,62182,21858,129409,119870,69544,24225,184141,140512,74848,18953,160123,123841,67757,17518,144499,102815,57186,13054,112792,88250,46505,12075,111818,80731,43382,10620,104088,72715,41389,9702,86494,63501,34980,7072,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),112498,72254,45400,19458,127448,84111,45912,20554,118534,79272,50309,23812,124139,82259,49654,20431,116579,79861,46478,20142,106130,96694,58622,24195,149907,106307,56464,18855,123586,89244,49693,17348,113719,75565,45476,13740,88788,63791,35309,12299,83559,56614,32152,10894,77344,49581,30208,9446,65560,45518,27071,7338,
营业成本(万元),74338,51036,31728,13948,88066,63014,34058,14752,82590,58493,36529,16778,83437,58394,35800,14210,76330,56042,33669,14571,68277,74442,45373,18500,110547,82915,44386,14447,91650,70512,39286,13133,85715,59988,35833,10170,64623,51063,27344,8984,62748,44014,24902,7518,57782,37986,22928,6333,48931,35100,21219,4804,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),2739,1910,1207,504,3558,2216,1329,485,4122,2065,1867,1420,8143,6051,3190,1059,7249,5290,3055,1192,6622,4908,2913,1159,7978,5873,2899,744,6796,4871,2668,713,5910,3970,2137,529,4439,3358,1854,479,4365,3172,1746,447,4008,2937,1667,382,3365,2426,1328,303,
销售费用(万元),10898,5802,3768,1252,2751,1300,821,350,1946,1200,865,426,2190,1372,762,314,1717,1330,782,399,1951,579,259,107,1492,251,119,72,1404,471,305,168,1193,337,179,121,1004,--,0,0,0,0,--,--,0,--,0,0,0,--,--,--,
管理费用(万元),26263,14642,10001,5095,30974,17709,9813,4989,28644,16760,10554,4935,27687,14448,8787,4155,26274,13643,8677,3864,24730,16183,9868,4381,25822,16987,8941,3550,21490,13181,7303,3310,18952,11088,7190,2824,15956,8821,5810,2699,16438,9389,5513,2912,15248,8592,5479,2710,13058,8065,4647,2235,
财务费用(万元),178,359,59,10,-473,-135,-131,-22,661,748,467,254,2225,1966,1090,692,3909,3555,295,117,4380,581,210,47,3993,280,119,42,1767,210,132,24,1449,182,137,96,744,549,301,136,-102,39,-10,18,-12,66,134,21,43,-72,-123,-4,
资产减值损失(万元),-1918,-1495,-1363,-1350,2572,7,23,--,571,6,28,--,458,27,25,--,1100,--,--,--,171,--,--,--,74,--,--,--,478,--,--,--,500,--,--,--,2021,--,0,--,110,0,--,--,317,--,--,0,163,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,2,1,-0,--,0,--,
投资收益(万元),30650,11635,7884,6156,8788,869,613,20,2350,1455,1458,1488,437,427,525,601,119,159,183,15,-172,-134,-99,25,763,805,805,19,999,997,998,12,2012,2006,2012,20,170,150,101,-20,-96,-58,-19,16,18,131,61,-12,2080,150,59,-29,
对联营企业和合营企业的投资收益(万元),5,-79,-8,40,55,1,13,20,-89,-45,-42,-19,-163,-173,-75,1,-71,-31,-7,--,-172,-134,-99,--,-37,--,5,--,-1,--,--,--,12,--,--,--,10,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),82469,58550,30753,11225,60472,48932,27624,6635,50749,45658,24360,7824,42761,40473,16493,1743,32531,31369,15887,1731,23107,23042,10823,56,34997,35010,19189,117,37535,35594,19062,182,32792,29255,13722,-665,24174,24609,11298,-243,28163,24059,11210,-258,26761,23266,11243,244,23014,18133,7968,-295,
营业外收入(万元),200,70,19,1,404,94,87,352,1065,518,384,213,1025,765,419,192,937,253,169,105,1080,504,433,13,1024,59,47,15,235,57,33,14,267,60,26,15,118,32,14,2,123,26,23,9,19,4,3,1,20,3,1,0,
营业外支出(万元),1146,237,189,25,1101,1056,1054,21,777,321,286,282,512,73,17,3,2755,87,57,2,985,943,322,8,207,29,17,4,331,49,32,1,1389,183,182,0,44,13,7,0,149,131,113,1,362,60,1,1,138,14,49,2,
非流动资产处置损失(万元),--,--,--,--,--,6,6,--,330,282,282,--,493,11,10,--,2743,83,53,--,906,--,305,--,80,--,10,--,266,--,--,--,1352,--,--,--,37,--,0,--,-23,0,--,--,--,--,--,0,0,--,--,--,
利润总额(万元),81524,58383,30583,11201,59775,47970,26658,6965,51038,45855,24458,7755,43274,41164,16895,1933,30712,31535,15999,1834,23202,22603,10934,60,35814,35040,19219,128,37439,35602,19063,196,31670,29132,13566,-650,24248,24629,11304,-242,28137,23955,11120,-250,26419,23210,11245,244,22895,18121,7920,-297,
所得税费用(万元),21010,14194,7566,3113,15932,11652,6708,1949,13525,11297,5939,1604,12051,10691,4350,632,8526,8645,3992,401,7057,6041,3049,315,9757,7360,4374,271,10367,8460,4480,286,7192,8051,3469,194,7160,6453,3089,206,7655,6003,2895,164,10145,7472,3830,210,8556,6716,2944,165,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,
净利润(万元),60513,44189,23018,8088,43843,36318,19950,5017,37513,34559,18519,6151,31222,30473,12545,1300,22186,22891,12007,1433,16144,16562,7885,-255,26057,27679,14845,-143,27072,27142,14583,-90,24479,21081,10097,-844,17088,18175,8215,-448,20482,17952,8225,-414,16273,15738,7415,33,14339,11405,4976,-462,
归属于母公司所有者的净利润(万元),58251,42085,21886,7796,41406,34230,18701,4673,35211,32610,17518,5780,29579,29228,12432,1432,20924,21354,11257,1359,14381,15252,7250,-243,24001,26088,13953,-189,25613,25764,13878,-113,23099,19727,9677,-674,15984,17051,7698,-429,18854,16694,7592,-442,15118,14774,6851,38,13546,10738,4680,-474,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),2262,2104,1132,292,2437,2088,1249,343,2303,1949,1001,372,1643,1245,114,-131,1262,1536,750,74,1763,1311,635,-12,2056,1591,892,46,1459,1378,705,24,1379,1355,420,-170,1104,1125,517,-19,1628,1258,634,28,1156,964,564,-5,793,666,296,13,
基本每股收益,0.78,0.56,0.29,0.1,0.55,0.46,0.25,0.06,0.47,0.44,0.23,0.12,0.62,0.61,0.26,0.03,0.44,0.45,0.24,0.03,0.31,0.32,0.15,-0.01,0.51,0.55,0.3,-0,0.54,0.55,0.29,-0,0.49,0.42,0.21,-0.01,0.34,0.36,0.16,-0.01,0.4,0.35,0.16,-0.01,0.33,0.32,0.15,0,0.3,0.36,0.16,-0.02,
稀释每股收益,0.78,0.56,0.29,0.1,0.55,0.46,0.25,0.06,0.47,0.44,0.23,0.12,0.62,0.61,0.26,0.03,0.44,0.45,0.24,0.03,0.31,0.32,0.15,-0.01,0.51,0.55,0.3,-0,0.54,0.55,0.29,-0,0.49,0.42,0.21,-0.01,0.34,0.36,0.16,-0.01,0.4,0.35,0.16,-0.01,0.33,0.32,0.15,0,0.3,0.35,0.15,-0.02,
