报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),23335,84328,63056,41913,19935,69801,50414,32477,14987,55014,39289,26295,11104,52278,37000,25409,12488,45461,33042,22275,10691,38246,27894,18664,9482,37529,26724,17244,8311,32061,22892,17586,
营业收入(万元),23335,84328,63056,41913,19935,69801,50414,32477,14987,55014,39289,26295,11104,52278,37000,25409,12488,45461,33042,22275,10691,38246,27894,18664,9482,37529,26724,17244,8311,32061,22892,17586,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),22953,85508,61024,40056,18997,68430,49623,32223,15503,58600,41074,27964,13309,52951,37237,24745,12273,43692,31191,20659,10140,34164,24504,15995,8471,32055,23440,14599,7249,25333,18436,14920,
营业成本(万元),10546,37466,27744,18332,8774,31536,22824,14772,6924,25984,18730,12430,5205,23593,16504,11266,5524,19696,14222,9504,4515,16507,11993,7976,4102,16014,11422,7174,3482,13036,9699,7943,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),305,1009,731,497,254,622,451,330,150,583,421,291,177,493,385,226,123,495,394,262,99,417,346,238,91,314,175,77,11,57,17,12,
销售费用(万元),4957,19108,13025,8438,4020,15738,10939,7031,3094,12814,8837,5851,3009,11657,8333,5381,2452,9642,6746,4319,2139,8160,5941,3933,1831,7883,5489,3687,1910,6101,4369,3304,
管理费用(万元),6222,25576,17735,11858,5741,23143,16406,10793,5333,20281,14072,9701,5104,19505,14017,9210,4878,16015,11486,7669,3887,12107,8611,5391,2663,9531,6451,3800,1881,6044,4387,3434,
财务费用(万元),906,2380,1788,919,221,-2712,-1053,-725,-1,-1504,-994,-328,-190,-2226,-1917,-1391,-703,-2219,-1683,-1121,-500,-3044,-2410,-1564,-216,-1690,-97,-139,-36,63,-19,165,
资产减值损失(万元),17,-31,1,12,-14,103,56,22,4,442,8,18,5,-72,-86,53,--,62,26,26,--,18,22,22,--,4,--,--,--,31,-16,63,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),44,-183,-114,-84,-59,249,444,368,184,10137,1077,747,239,-346,-319,-226,-114,-325,-234,-125,-24,-18,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2322,3348,3258,2548,879,1620,1236,623,-331,6551,-709,-922,-1966,-1019,-555,438,101,1444,1617,1491,527,4064,3390,2669,1012,5474,3284,2645,1063,6728,4456,2666,
营业外收入(万元),68,513,3119,2080,1658,3066,2091,1224,733,3578,2028,1378,342,2273,1604,1135,463,1933,1457,638,310,1979,1140,956,470,1003,621,449,171,646,706,551,
营业外支出(万元),10,130,68,7,3,2888,2857,43,43,41,4,2,1,113,112,103,0,11,9,9,0,5,1,--,--,1,--,--,--,0,18,12,
非流动资产处置损失(万元),--,--,--,7,--,33,--,0,--,4,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),2380,3730,6309,4621,2534,1799,470,1805,359,10088,1315,455,-1624,1141,936,1470,564,3365,3064,2120,836,6038,4528,3626,1481,6476,3906,3094,1234,7374,5145,3205,
所得税费用(万元),-30,-63,-35,-68,-29,-148,-111,-69,-31,-12,-45,-34,-17,1,-59,-42,-14,40,61,80,64,680,436,397,99,652,328,271,83,844,554,365,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2409,3793,6343,4689,2562,1947,580,1874,390,10100,1360,489,-1608,1141,995,1512,578,3325,3003,2040,773,5357,4092,3229,1382,5824,3577,2824,1150,6529,4591,2840,
归属于母公司所有者的净利润(万元),2558,4377,6738,4884,2548,2635,1111,2257,603,10321,1537,610,-1536,1343,1130,1595,621,3470,3107,2131,830,5520,4216,3292,1409,5919,3649,2875,1175,6602,4591,2840,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-148,-584,-395,-195,14,-689,-531,-383,-213,-221,-177,-121,-71,-203,-134,-83,-43,-145,-104,-91,-57,-162,-123,-64,-27,-95,-72,-52,-24,-72,--,--,
基本每股收益,0.04,0.07,0.12,0.08,0.04,0.05,0.02,0.04,0.03,0.44,0.07,0.03,-0.08,0.07,0.06,0.08,0.05,0.27,0.24,0.16,0.08,0.55,0.42,0.33,0.14,0.65,0.41,0.35,0.16,0.88,0.61,--,
稀释每股收益,0.04,0.07,0.12,0.08,0.04,0.05,0.02,0.04,0.03,0.44,0.07,0.03,-0.08,0.07,0.06,0.08,0.05,0.27,0.24,0.16,0.08,0.55,0.42,0.33,0.14,0.65,0.41,0.35,--,0.88,0.61,--,
