报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,
营业总收入(万元),217795,647236,444259,289639,167384,651919,471052,307447,192155,629478,432838,277729,175387,662077,469448,299414,184142,788962,576269,373802,222405,950955,719441,460034,263888,994506,679304,379527,207500,750048,485175,254194,141872,521752,307978,182237,108963,447368,285473,163753,95618,315652,113908,198369,91682,
营业收入(万元),217795,647236,444259,289639,167384,651919,471052,307447,192155,629478,432838,277729,175387,662077,469448,299414,184142,788962,576269,373802,222405,950955,719441,460034,263888,994506,679304,379527,207500,750048,485175,254194,141872,521752,307978,182237,108963,447368,285473,163753,95618,315652,113908,198369,91682,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业总成本(万元),214888,682145,461889,297584,165447,693381,486872,314321,187088,644472,446102,286854,170651,646648,448029,283643,172943,736776,525571,345440,204671,860438,397639,406881,232335,849107,576094,334322,179986,653764,436587,247941,137925,465586,285861,167397,92366,364039,236373,137782,76461,272792,109698,189276,90806,
营业成本(万元),121488,340118,230618,143097,83804,366792,267197,170040,107744,352413,242194,150794,100527,362986,247537,152612,102178,436832,310748,198609,123761,527280,397639,248430,150690,555226,371964,201156,112349,409454,269358,145513,87980,289460,174219,99276,60107,243406,160315,92518,54995,193048,74462,142427,76612,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业税金及附加(万元),1681,4438,3392,2488,1622,4664,3197,2137,1484,5060,3658,2374,1627,5796,4183,2984,2017,6187,4422,2905,1785,6238,5212,3349,1938,5507,3340,1528,746,3379,2858,1441,978,2765,1580,1013,554,2147,1588,849,483,1439,507,552,78,
销售费用(万元),73855,258065,184988,120701,62711,244598,168706,109545,57720,219449,157333,105792,56243,216613,155300,102684,57513,248123,180936,123949,71196,277217,196266,131304,66632,230513,163838,108063,55259,198870,137192,87504,43883,145056,92780,57085,26969,94367,59767,35377,16699,60289,26880,30432,7022,
管理费用(万元),6263,27684,19660,12570,6544,33304,22223,14375,7649,32235,23263,14837,5778,22715,18501,10886,5629,26109,17787,11545,5672,26510,19288,14053,7746,34091,21381,13690,7230,32472,21928,10749,3993,21666,13276,7659,3480,18935,11130,6846,3186,15497,7059,14826,6564,
财务费用(万元),1891,6497,4982,3064,1598,11407,9057,6403,3350,11658,8817,6003,3367,12917,10342,6678,3064,11252,8448,5202,2257,16793,13975,9745,5329,20661,15456,9885,4401,8801,5251,2734,1091,5287,4007,2365,1257,4767,3391,2126,1043,2246,735,1033,531,
资产减值损失(万元),9708,45343,18249,15664,9168,32615,16493,11821,9139,23657,10836,7054,3110,25621,12167,7799,2542,8275,3231,3231,--,6400,--,--,--,3109,116,--,--,788,--,--,--,1352,--,--,--,418,183,66,54,273,55,6,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
投资收益(万元),1350,3865,2963,2071,770,57150,1387,954,569,-64,-166,-191,3,2396,2396,2396,--,-413,-279,-142,-108,-1093,-713,-391,-250,-839,50,50,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),1350,3865,--,2071,770,2128,1354,954,569,-64,-166,-191,3,2396,2396,--,--,-413,-279,-142,--,-1093,--,-391,--,890,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业利润(万元),4289,-30555,-14667,-5875,2707,15688,-14433,-5920,5637,-15058,-13430,-9316,4739,17825,23816,18168,11199,51772,50419,28220,17626,89425,86348,52762,31303,144560,103259,45255,27514,96284,48588,6253,3947,56166,22117,14839,16597,83329,49100,25971,19157,42859,4210,9093,876,
营业外收入(万元),62,1202,1799,862,236,4459,2256,1720,328,3097,2816,1714,944,10604,8830,6598,2983,5527,6349,4759,555,22771,14239,6883,1023,15914,5765,5252,614,10450,4744,2221,73,8338,6231,4608,1663,1742,1619,226,109,920,267,541,9,
营业外支出(万元),211,527,685,469,218,3813,769,503,137,1279,714,536,317,3801,2845,1590,249,8557,5599,2333,769,1849,955,432,266,2867,2637,618,433,3353,2252,635,308,1221,742,521,207,953,545,437,43,527,220,405,10,
