报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),12163,69045,35242,24061,9310,52743,26656,20024,7466,44982,24078,17672,5007,36571,22111,29684,29422,25312,
营业收入(万元),12163,69045,35242,24061,9310,52743,26656,20024,7466,44982,24078,17672,5007,36571,22111,29684,29422,25312,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),11319,57534,28888,19557,8308,44138,22615,16437,6649,37578,20584,14851,4372,30386,18779,25068,23660,20399,
营业成本(万元),7729,39173,17764,12252,5594,29567,14061,10788,4554,25582,13034,10013,2583,19741,12371,15024,14980,13712,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),71,626,258,175,39,444,119,75,26,301,171,113,23,248,111,520,688,577,
销售费用(万元),1270,6478,3675,2382,1077,5637,3137,1941,825,4119,2765,1734,590,3610,2136,3369,2701,2156,
管理费用(万元),2360,10082,6787,4395,1504,8425,5914,3883,1659,7264,4558,2966,1318,6134,3948,5645,4804,3558,
财务费用(万元),-157,-300,-239,-155,-76,-376,-295,-168,-98,-172,-126,-102,-50,-48,-35,57,82,73,
资产减值损失(万元),46,1475,643,508,170,441,-321,-82,-318,484,182,128,-93,701,249,453,405,323,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,-98,-98,-90,-61,-172,-196,-173,-57,-207,-67,-118,-54,115,-8,611,-64,41,
对联营企业和合营企业的投资收益(万元),--,-90,-98,-90,-61,-172,-196,-173,-57,-207,-67,-118,-54,115,-8,-89,-64,-110,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1112,12073,6409,4516,941,8434,3845,3414,760,7196,3427,2704,582,6300,3323,5226,5698,4954,
营业外收入(万元),4,24,243,155,57,1045,755,140,49,364,316,315,--,491,331,511,222,260,
营业外支出(万元),--,61,61,0,0,100,100,--,--,3,3,3,0,--,--,10,121,31,
非流动资产处置损失(万元),--,--,0,0,0,--,--,--,--,1,1,1,--,--,--,0,26,2,
利润总额(万元),1116,12036,6591,4671,998,9379,4500,3554,809,7557,3740,3016,582,6791,3655,5727,5798,5182,
所得税费用(万元),288,1457,1082,775,213,945,817,679,187,1239,607,491,79,883,483,374,984,926,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),828,10579,5509,3896,785,8434,3683,2876,622,6318,3134,2524,503,5908,3172,5353,4815,4256,
归属于母公司所有者的净利润(万元),833,9080,4616,3496,688,7727,3554,2741,554,5722,3100,2445,505,5577,3001,5410,4500,4317,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-5,1500,893,400,97,707,129,135,68,595,34,80,-2,331,171,-56,315,-61,
基本每股收益,0.05,0.57,0.56,0.44,0.09,0.97,0.44,0.34,0.07,0.95,0.52,0.41,0.08,0.93,0.5,0.9,0.75,0.72,
稀释每股收益,0.05,0.57,0.56,0.44,0.09,0.97,0.44,0.34,0.07,0.95,0.52,0.41,0.08,0.93,0.5,0.9,0.75,0.72,
