报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),19913,12114,25999,15094,11032,9959,9779,
营业收入(万元),19913,12114,25999,15094,11032,9959,9779,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),13790,7450,16770,9281,9250,8368,8675,
营业成本(万元),10201,5278,9586,5389,5663,5449,5010,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),209,153,420,151,80,51,84,
销售费用(万元),923,639,2087,906,882,872,948,
管理费用(万元),2570,1483,4337,2923,2376,2149,2770,
财务费用(万元),-115,-105,-143,-117,-95,-345,-125,
资产减值损失(万元),2,2,484,29,345,192,-13,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),7068,4927,9229,5813,1782,1590,1104,
营业外收入(万元),734,533,1174,169,825,683,179,
营业外支出(万元),39,33,5,2,6,10,6,
非流动资产处置损失(万元),26,26,5,2,6,6,4,
利润总额(万元),7763,5428,10398,5980,2600,2263,1277,
所得税费用(万元),1188,848,1525,780,502,503,187,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),6574,4580,8873,5200,2098,1761,1090,
归属于母公司所有者的净利润(万元),6729,4731,8037,4838,2255,1804,1090,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-155,-151,837,362,-157,-43,--,
基本每股收益,0.9,0.63,1.07,0.65,0.3,0.24,0.15,
稀释每股收益,0.9,0.63,1.07,0.65,0.3,0.24,0.15,
