报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),13524,9614,4854,21805,14769,11593,4796,17023,11509,14138,11523,7697,5698,
营业收入(万元),13524,9614,4854,21805,14769,11593,4796,17023,11509,14138,11523,7697,5698,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10595,6952,3439,15296,9421,6635,2478,11387,6876,8943,7491,5122,3456,
营业成本(万元),3757,2471,1219,5861,3685,2878,1086,4385,2677,3114,2940,1995,1470,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),74,44,26,313,96,55,15,281,102,294,198,155,89,
销售费用(万元),3709,2454,1187,4762,2977,1913,730,3802,2219,3242,2455,1217,802,
管理费用(万元),2937,1887,1006,3977,2280,1463,659,2769,1623,2257,1817,1629,1085,
财务费用(万元),-44,-33,-17,-38,-20,-15,-12,-19,-16,-7,-17,-7,-5,
资产减值损失(万元),162,128,17,421,403,341,--,170,271,43,97,133,16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1078,687,327,320,190,146,9,414,290,238,12,44,77,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4735,4017,1742,6829,5538,5104,2327,6050,4922,5433,4044,2620,2320,
营业外收入(万元),514,457,637,2309,1495,1101,960,2211,1769,1693,1233,843,238,
营业外支出(万元),3,2,--,1,1,0,0,26,26,0,117,9,2,
非流动资产处置损失(万元),3,2,--,--,--,--,--,25,25,--,--,3,0,
利润总额(万元),5246,4471,2378,9137,7033,6206,3287,8235,6665,7126,5160,3453,2556,
所得税费用(万元),826,704,374,1251,1085,946,493,1138,1004,1033,767,505,332,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4420,3768,2005,7886,5947,5260,2794,7097,5661,6093,4393,2949,2224,
归属于母公司所有者的净利润(万元),4420,3768,2005,7886,5947,5260,2794,7097,5661,6093,4393,2949,2224,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.53,0.45,0.24,1.83,1.42,1.25,0.44,1.69,1.35,1.45,1.13,0.76,0.74,
稀释每股收益,0.53,0.45,0.24,1.83,1.42,1.25,0.44,1.69,1.35,1.45,1.13,0.76,0.74,
