报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),517878,4052568,1685568,1132794,203718,2796928,1184257,907157,114479,2356879,1112823,872605,146572,2067420,2073646,1744620,
营业收入(万元),517878,4052568,1685568,1132794,203718,2796928,1184257,907157,114479,2356879,1112823,872605,146572,2067420,2073646,1744620,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),474844,3361703,1445649,991442,190966,2449112,1082786,797740,140864,2123032,1047563,803785,143572,1869066,1847362,1534032,
营业成本(万元),329341,2611515,1055458,722417,124537,2017416,897842,671346,96006,1725034,859056,663681,105531,1527302,1483445,1258727,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),44192,326595,159030,95549,19105,174206,57274,47272,6050,194590,72627,57900,6394,171777,203004,160564,
销售费用(万元),33399,177640,69135,48465,16564,103247,57069,34259,16319,78727,46382,29277,11537,61310,59118,47446,
管理费用(万元),49859,198288,130122,98002,26375,127041,62929,39885,19983,87341,54514,39578,18419,65349,65233,55069,
财务费用(万元),12271,44675,31904,27010,4386,27203,7672,4978,2508,13090,5131,3496,1691,5214,28603,12225,
资产减值损失(万元),5783,2989,--,--,--,--,--,--,0,24249,9854,9854,0,38114,7959,--,
公允价值变动收益(万元),--,91057,17878,17878,--,59399,21592,21592,0,81511,28264,28264,0,36599,3784,3109,
投资收益(万元),5096,53851,23317,4800,-5500,15977,360,-8174,-1280,11864,12849,11559,5102,2540,4118,-7,
对联营企业和合营企业的投资收益(万元),3507,22675,20351,3593,-6321,18855,4942,-245,-831,6136,7146,5857,-600,-735,-1142,-511,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),48151,835969,281114,164029,7252,423192,123424,122835,-27665,327222,106373,108644,8102,237494,234186,213689,
营业外收入(万元),860,3787,2486,1579,1315,9490,3160,1958,1188,2649,8800,1053,461,4255,15598,2016,
营业外支出(万元),644,2699,1948,1113,624,3686,771,588,290,786,512,422,233,809,1230,2109,
非流动资产处置损失(万元),--,--,346,282,237,181,124,17,10,41,16,6,3,25,49,7,
利润总额(万元),48367,837057,281652,164494,7943,428996,125814,124205,-26768,329085,114661,109275,8330,240940,248555,213596,
所得税费用(万元),11234,211020,76723,49846,4084,113403,36067,38167,-6540,89125,27328,26536,659,61705,63563,57830,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),37133,626036,204929,114649,3859,315594,89747,86038,-20228,239960,87333,82739,7671,179235,184992,155766,
归属于母公司所有者的净利润(万元),36041,602891,199184,113923,4227,301923,88297,85235,-19370,183627,44820,45907,3265,116721,117433,96746,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-11406,-3530,--,
少数股东损益(万元),1092,23145,5745,726,-368,13671,1450,802,-859,56333,42513,36832,4406,62514,67559,59020,
基本每股收益,0.15,2.71,0.9,0.51,0.02,1.36,0.44,0.45,-0.11,1.51,0.38,--,0.03,--,--,--,
稀释每股收益,0.15,2.7,0.89,0.51,0.02,1.36,0.44,0.45,-0.11,1.51,--,--,0.03,--,--,--,
