报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),25817,16395,6844,22994,16944,10735,5283,23704,18238,22998,20640,21555,23301,
营业收入(万元),25817,16395,6844,22994,16944,10735,5283,23704,18238,22998,20640,21555,23301,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),23705,14811,6163,18400,13640,8544,4369,19327,14920,19232,17145,17321,20493,
营业成本(万元),18922,11929,4792,14701,10839,6910,3411,16177,12574,15607,13859,14244,16796,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),225,133,37,283,229,175,102,188,180,112,131,135,152,
销售费用(万元),1366,855,414,1279,855,531,220,1179,839,1198,950,914,953,
管理费用(万元),2793,1744,838,2971,2158,1275,650,2569,1889,2324,2027,2136,2275,
财务费用(万元),264,67,54,-867,-438,-329,4,-838,-613,-5,233,19,371,
资产减值损失(万元),134,83,28,32,-3,-18,-18,52,52,-4,-55,-127,-53,
公允价值变动收益(万元),--,--,--,40,-1,-44,70,-17,-1,-23,--,--,--,
投资收益(万元),238,136,77,-136,-61,-12,-14,-208,-116,16,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2350,1720,757,4498,3242,2135,970,4152,3201,3759,3495,4235,2808,
营业外收入(万元),253,146,9,137,133,116,14,102,94,297,737,248,120,
营业外支出(万元),9,0,0,29,18,18,17,15,12,35,47,35,62,
非流动资产处置损失(万元),8,--,--,8,7,7,7,--,--,8,15,--,8,
利润总额(万元),2594,1866,766,4607,3357,2234,966,4239,3283,4021,4186,4448,2866,
所得税费用(万元),316,232,94,621,457,338,125,553,428,532,570,616,434,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2278,1634,671,3985,2900,1896,841,3686,2855,3488,3616,3832,2432,
归属于母公司所有者的净利润(万元),2198,1583,659,3985,2900,1896,841,3686,2855,3488,3616,3832,2432,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),80,51,13,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.22,0.16,0.07,0.48,0.37,0.25,0.11,0.49,0.38,0.47,0.48,0.51,--,
稀释每股收益,0.22,0.16,0.07,0.48,0.37,0.25,0.11,0.49,0.38,0.47,0.48,0.51,--,
