报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),185462,144072,97023,49969,174101,130506,88711,46521,104607,60831,33742,16776,70987,55758,40085,20026,73494,57518,38445,17399,84214,63743,44276,1982,9866,7027,4167,1671,9472,6312,3741,2107,9354,6535,4089,1658,9407,7188,5035,2509,13640,10721,7117,3499,12280,9052,5745,2702,8293,6914,4098,1930,
营业收入(万元),185462,144072,97023,49969,174101,130506,88711,46521,104607,60831,33742,16776,70987,55758,40085,20026,73494,57518,38445,17399,84214,63743,44276,1982,9866,7027,4167,1671,9472,6312,3741,2107,9354,6535,4089,1658,9407,7188,5035,2509,13640,10721,7117,3499,12280,9052,5745,2702,8293,6914,4098,1930,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
营业总成本(万元),175837,135389,90348,46307,157399,115430,77968,40561,99910,58504,32067,16486,70554,53867,38327,19722,72263,56130,37617,17310,78413,59084,40950,1929,9462,6717,3727,1616,10014,7093,5322,2294,14724,6746,4301,1777,12265,7636,5135,2657,13249,10212,6652,3119,11601,8465,5276,2361,11868,9281,5725,2909,
营业成本(万元),149640,117146,77768,40998,132001,98080,65391,34899,85873,50011,27359,14267,60020,46463,33602,17660,63467,49850,33641,15538,67870,51402,35565,907,4385,3178,1891,731,4878,3371,2065,1258,4698,3153,1895,850,4974,3756,2699,1594,7389,6034,4027,2011,6761,4923,3068,1351,4345,3264,1742,863,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
