报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),1088963,2415980,2096566,1454258,953759,1991794,1687833,1153049,758858,1718311,1466708,1019360,684301,1605244,1366103,957145,625968,1467221,1230535,865310,566974,1502362,1305317,941032,632282,1727048,1399699,930977,596171,1274092,969732,617174,363380,761909,555430,348710,193343,400205,289224,180456,268220,204839,176201,107143,
营业收入(万元),1088963,2415980,2096566,1454258,953759,1991794,1687833,1153049,758858,1718311,1466708,1019360,684301,1605244,1366103,957145,625968,1467221,1230535,865310,566974,1502362,1305317,941032,632282,1727048,1399699,930977,596171,1274092,969732,617174,363380,761909,555430,348710,193343,400205,289224,180456,268220,204839,176201,107143,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
营业总成本(万元),579762,1435236,1229941,829726,504814,1174157,981706,657587,404176,1000304,850563,579558,364358,949030,784320,541514,330635,871573,697155,485900,300097,836944,708598,504143,321322,921640,769920,516265,303287,722832,565584,359239,191126,453922,344984,205201,97148,233711,169060,102930,168404,128523,117618,79203,
营业成本(万元),301746,635324,565340,414454,240489,668115,637108,462380,294191,620298,573580,400958,269593,611507,533069,376236,250294,577741,478068,340783,228589,594572,506017,367617,248007,629420,536241,356564,226810,532937,424387,264698,148821,332859,248630,147429,77155,166225,132109,79136,127807,99644,90781,56378,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
研发费用(万元),1305,2757,2092,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
营业税金及附加(万元),155168,376993,337123,211833,154597,115187,55756,22348,14637,30957,23448,16205,11628,22939,20990,14787,10577,19035,17091,11175,8423,18729,16893,12495,9537,24115,21195,15320,11097,17917,15360,9274,5418,8733,6550,3584,2165,4186,3094,2125,2660,2173,1622,1287,
销售费用(万元),69721,256140,198239,117328,60202,238745,160546,95629,50687,186900,133020,83450,43927,188241,126641,82963,38368,167984,117874,79172,35664,138771,122220,80562,42413,177490,142420,99350,45700,120943,84473,58386,22864,73700,61788,37307,12057,40518,18888,13653,22659,16101,13837,12096,
管理费用(万元),53418,170427,130356,87993,47192,153215,129949,79999,45852,158244,120926,81835,42019,144788,108479,69931,34567,126706,99762,66174,34174,103741,74634,49839,26343,102022,77070,49491,23097,66098,48181,29118,14800,44117,30644,19054,6224,24598,15918,8610,16973,11385,11297,8843,
财务费用(万元),-1716,-6514,-3561,-2226,1985,-3391,-3401,-3409,-1914,-895,-2545,-2874,-2872,-19636,-5220,-2682,-3220,-23669,-15975,-11791,-6819,-19647,-11232,-6818,-5266,-12071,-7589,-5022,-3731,-15654,-7019,-2502,-1039,-5176,-2300,-1830,-404,-2065,-1112,-685,-1696,-858,32,550,
资产减值损失(万元),--,110,350,343,349,2287,1748,639,722,4800,2134,-16,63,1191,361,280,50,3776,336,388,66,780,66,447,289,665,584,562,314,592,202,266,263,-310,-328,-343,-49,249,164,92,1,78,49,49,
公允价值变动收益(万元),3701,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
投资收益(万元),21262,91829,66514,39304,16282,62395,36325,24625,10758,54721,26704,15048,7836,57794,15670,8751,1821,5302,1481,1181,115,5140,5105,4539,3000,13468,11037,5823,2224,1200,89,--,--,--,0,--,--,75,75,73,18,21,388,-122,
对联营企业和合营企业的投资收益(万元),8,182,64,-1,1,-130,-101,-185,-40,-389,-324,-333,-338,-24,-29,-30,-7,-18,0,-5,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,-56,45,7,-124,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
营业利润(万元),536965,1081365,938776,668281,467386,883647,742452,520087,365440,772728,642849,454850,327779,714009,597453,424382,297155,600951,534860,380590,266992,670559,601824,441428,313960,818876,640816,420535,295107,552460,404237,257935,172254,307987,210446,143509,96195,166569,120238,77599,99835,76337,58972,27818,
营业外收入(万元),583,3793,2072,1119,438,1982,4323,3048,1103,4588,2196,1274,379,3626,1618,1105,549,4534,1316,940,381,1859,2891,881,396,4867,4266,3711,288,3710,3325,2302,810,3215,1802,767,157,2087,1164,1049,684,352,302,113,
营业外支出(万元),181,1240,577,198,38,834,1467,957,653,1220,992,593,67,1103,889,692,414,2414,874,760,227,3833,2228,1119,18,2197,577,353,170,3098,1940,1611,1321,3581,1516,1197,55,1325,837,191,1235,1131,1317,624,
非流动资产处置损失(万元),--,--,--,--,--,--,768,665,460,655,610,523,61,76,67,54,21,436,366,328,95,677,302,40,3,515,43,40,10,436,226,163,84,292,162,51,47,463,201,76,50,19,371,35,
利润总额(万元),537367,1083919,940271,669201,467786,884795,745308,522179,365890,776097,644053,455531,328091,716532,598182,424795,297290,603071,535302,380770,267145,668585,602487,441190,314339,821546,644505,423893,295225,553072,405622,258626,171744,307622,210733,143079,96297,167331,120566,78456,99284,75559,57957,27307,
所得税费用(万元),134849,272386,236316,168655,120195,222917,187977,132167,92128,195604,161779,113586,82486,180012,152065,106321,74576,152267,136991,95295,66992,168370,152723,112711,78686,206356,161839,106664,73994,139411,102474,65707,43347,77753,53199,36222,24156,41970,30184,19620,24978,18903,20472,9809,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
净利润(万元),402517,811533,703955,500546,347592,661879,557331,390012,273762,580493,482274,341945,245605,536520,446117,318474,222714,450804,398311,285475,200153,500215,449764,328479,235653,615191,482666,317230,221231,413661,303148,192919,128396,229869,157534,106858,72141,125361,90382,58836,74306,56656,37485,17498,
归属于母公司所有者的净利润(万元),402076,811519,703875,500499,347515,662717,558166,390826,274296,582717,483916,342381,245600,536519,446117,318486,222713,450750,398274,285448,200140,500207,449758,328491,235649,615430,482812,317389,221205,402099,291595,181386,117154,220467,153568,106723,72145,125362,90382,58836,74306,56656,37474,17498,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,--,
少数股东损益(万元),441,14,80,47,77,-838,-835,-814,-534,-2224,-1642,-436,5,1,0,-12,1,55,37,27,13,8,6,-12,4,-240,-146,-159,26,11562,11553,11533,11243,9402,3966,134,-3,-1,0,0,0,0,0,0,
基本每股收益,2.67,5.39,4.67,3.32,2.31,4.4,3.7,2.59,1.82,3.87,3.21,2.27,1.63,3.56,2.96,2.11,2.07,4.19,3.7,2.65,1.86,4.63,4.17,3.04,2.18,5.7,4.47,2.94,2.46,4.47,3.24,2.02,2.6,4.9,3.41,2.37,1.6,3.04,2.23,1.45,1.83,1.4,0.93,0.46,
稀释每股收益,2.67,5.39,4.67,3.32,2.31,4.4,3.7,2.59,1.82,3.87,3.21,2.27,1.63,3.56,2.96,2.11,2.07,4.19,3.7,2.65,1.86,4.63,4.17,3.04,2.18,5.7,4.47,2.94,2.46,4.47,3.24,2.02,2.6,4.9,3.41,2.37,1.6,3.04,2.23,1.45,1.83,1.4,0.93,0.46,
