报告日期,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),46973,80782,11906,67870,59421,50823,
营业收入(万元),46973,80782,11906,67870,59421,50823,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),39640,64482,10230,53200,47455,41337,
营业成本(万元),28501,48271,7040,40847,37157,33993,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),438,761,68,625,435,391,
销售费用(万元),7717,9201,1961,6817,5644,3517,
管理费用(万元),2790,6180,1198,4961,4252,3210,
财务费用(万元),-50,-119,-31,-59,-44,-4,
资产减值损失(万元),244,187,-6,7,10,230,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),832,1076,93,382,925,407,
对联营企业和合营企业的投资收益(万元),-37,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),8164,17377,1768,15052,12891,9894,
营业外收入(万元),257,670,7,209,133,99,
营业外支出(万元),11,62,13,26,8,12,
非流动资产处置损失(万元),0,24,--,1,--,--,
利润总额(万元),8410,17985,1762,15235,13016,9981,
所得税费用(万元),1276,2787,252,1898,1838,1560,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),7134,15198,1510,13336,11179,8420,
归属于母公司所有者的净利润(万元),7134,15198,1510,13336,11179,8420,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,
基本每股收益,0.2,0.42,0.04,--,--,--,
稀释每股收益,0.2,0.42,0.04,--,--,--,
