报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),260501,165349,90522,280077,179319,100318,48534,201908,149205,222544,37464,154187,78760,48796,
营业收入(万元),260501,165349,90522,280077,179319,100318,48534,201908,149205,222544,37464,154187,78760,48796,
利息收入(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),249919,158016,85304,269153,175285,98316,46938,194653,143472,215406,35962,142537,74557,48628,
营业成本(万元),232852,147288,79877,251408,165120,91593,44235,179125,133466,198831,33035,131134,67940,43744,
利息支出(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),543,356,168,486,251,142,73,461,352,480,109,354,176,98,
销售费用(万元),1828,1137,659,2225,1341,822,361,1846,1180,1728,258,1396,856,647,
管理费用(万元),11854,7483,3711,12420,7258,4746,2283,12472,7847,12271,2107,8123,4464,2995,
财务费用(万元),2290,1308,663,1145,342,89,-14,485,286,1281,270,516,129,118,
资产减值损失(万元),551,444,226,1468,972,925,0,264,341,814,182,1014,993,1028,
公允价值变动收益(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
投资收益(万元),50,--,0,--,--,--,0,--,--,0,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10633,7332,5217,10924,4034,2001,1595,7255,5733,7138,1503,11650,4202,168,
营业外收入(万元),1261,628,246,220,178,43,11,549,158,165,47,108,354,64,
营业外支出(万元),57,17,15,13,10,0,0,125,33,58,20,3,1,0,
非流动资产处置损失(万元),41,0,0,6,5,--,0,112,19,33,--,--,--,--,
利润总额(万元),11837,7943,5448,11131,4202,2045,1606,7678,5859,7245,1530,11755,4555,232,
所得税费用(万元),1303,729,807,1366,182,-173,188,644,453,825,239,1783,630,-24,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),10534,7215,4641,9765,4020,2218,1418,7034,5406,6420,1291,9972,3925,256,
归属于母公司所有者的净利润(万元),10534,7215,4641,9765,4020,2218,1418,7034,5406,6420,1291,9972,3925,256,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,0,--,--,--,0,--,--,--,--,--,--,--,
基本每股收益,0.54,0.78,0.53,1.36,0.56,0.31,0.2,0.98,0.75,0.99,0.2,1.54,0.61,0.04,
稀释每股收益,0.54,0.78,0.53,1.36,0.56,0.31,0.2,0.98,0.75,0.99,0.2,1.54,0.61,0.04,
