报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),158198,114444,48279,176821,127903,82696,45654,185469,135578,95441,50855,112378,72490,45743,21702,77476,56068,33950,13396,38050,24444,12840,5526,22536,15926,9587,4160,18364,7594,11731,5890,1542,
营业收入(万元),158198,114444,48279,176821,127903,82696,45654,185469,135578,95441,50855,112378,72490,45743,21702,77476,56068,33950,13396,38050,24444,12840,5526,22536,15926,9587,4160,18364,7594,11731,5890,1542,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),104199,73396,34469,182651,89869,56282,27381,138621,75230,50594,26732,65566,40466,25488,12202,44943,33698,21394,8431,22119,14464,8007,3969,13581,10249,5968,2892,12106,4981,7254,4289,1371,
营业成本(万元),60245,43212,20575,72545,50678,31999,17241,81333,52449,37064,20049,43341,27381,17016,8095,29631,22915,15343,6406,17337,11560,6948,3325,10507,6924,3739,1738,8625,3275,4744,3278,1029,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),28034,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2702,588,107,576,249,188,98,974,374,236,114,468,265,179,72,917,807,729,420,1193,747,405,172,779,519,327,132,582,265,363,167,51,
销售费用(万元),2080,1416,793,2638,1996,1454,681,2756,1971,1459,900,2898,2337,1632,883,2617,1740,872,343,829,673,305,151,429,309,210,130,386,174,263,191,57,
管理费用(万元),8837,26181,11157,49848,30965,18804,7992,34259,19829,12184,5896,18438,11534,7529,3872,14097,9921,5645,2010,4923,3060,1330,809,3318,2622,1778,950,2684,1347,1956,609,202,
