报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),326288,196307,136100,53270,266612,165058,108029,44285,217017,133742,82058,33699,222553,129832,90840,27413,142184,77089,46267,20170,121055,64576,42128,17193,96135,55406,35789,14226,104819,55756,36970,15967,86723,50994,29477,10796,72971,40653,24948,11959,66868,40407,26104,14952,57243,34090,18477,5925,34586,21469,13697,5551,
营业收入(万元),326288,196307,136100,53270,266612,165058,108029,44285,217017,133742,82058,33699,222553,129832,90840,27413,142184,77089,46267,20170,121055,64576,42128,17193,96135,55406,35789,14226,104819,55756,36970,15967,86723,50994,29477,10796,72971,40653,24948,11959,66868,40407,26104,14952,57243,34090,18477,5925,34586,21469,13697,5551,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),300367,186196,123150,59997,263036,171616,107021,47781,214178,135686,79027,32938,195939,134327,78919,26489,126456,75948,44057,18844,102666,57840,37817,14984,88463,54447,34523,13548,85853,48791,32331,12816,71911,40942,25257,8621,58162,31234,19808,10128,55751,33865,22183,12452,51498,30821,17599,5597,34053,20990,14235,5950,
营业成本(万元),9446,5897,4927,2950,8976,5181,4127,1879,9950,5488,2787,366,16277,9678,8845,1607,8982,6546,4161,1319,21982,11815,9226,2233,18506,9166,5892,1960,21370,11936,9257,3465,21417,13190,8063,1604,21399,11722,7360,5036,23619,15350,11237,7088,25768,16091,9161,2481,18038,11134,7941,3417,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),140467,87831,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4344,2477,1639,527,4427,2549,1590,555,4125,2538,1603,699,3678,2600,1841,386,2007,1329,841,252,3177,1523,1127,641,4311,1995,1271,427,3973,1842,1410,376,3112,1601,759,122,2120,1129,631,186,1759,616,327,100,1176,418,215,12,538,162,85,40,
销售费用(万元),88207,61417,42804,17763,74988,55984,34502,15802,66302,44514,24424,11633,58182,40553,23874,8757,35742,21732,11259,4734,21223,11464,6613,3220,23328,11620,7247,3160,17433,10348,6202,2879,14434,9260,6068,2536,13122,7964,5253,2219,10370,7780,4390,2163,9178,6931,3861,1402,5410,4091,2543,1396,
管理费用(万元),44601,28569,73223,38760,173415,107202,65700,29718,133484,83009,50028,20267,105760,81071,43856,15849,80109,46580,27744,12580,57309,33793,21532,9848,42813,31210,19635,8269,42143,24124,14953,6093,32603,16677,10153,4460,21499,10281,6278,2598,20031,9872,6030,3024,14657,6952,3982,1676,9198,5382,3484,1119,
财务费用(万元),193,237,187,40,-136,-127,-95,-44,-96,-66,-28,-26,-358,-328,-311,-111,-904,-750,-460,-40,-406,-248,-175,-6,-348,-235,-213,-224,102,71,40,2,-64,-98,-106,-104,-248,-127,-13,-19,-49,55,23,41,244,162,115,26,-52,-33,-72,-22,
资产减值损失(万元),13108,-232,370,-43,1366,827,1197,-129,414,202,213,-2,12399,753,813,--,520,512,512,--,-618,-506,-506,-951,-146,691,691,-45,832,470,469,2,409,313,320,3,271,265,299,107,20,193,175,35,474,268,265,0,920,255,255,--,
公允价值变动收益(万元),-2340,-1012,-902,-435,-2145,90,37,23,-650,-646,-423,-372,-182,-547,64,-139,1248,340,153,-116,71,100,4,65,74,30,90,55,-769,-564,-325,-82,-820,-559,-1302,-191,1211,-195,40,133,-2893,-5662,-5642,-2818,871,871,4,598,1528,267,314,176,
投资收益(万元),25670,15047,10224,4218,27063,26157,14640,3320,11902,8648,3873,318,16401,9504,6444,1955,12256,8949,5093,1189,10385,4302,1362,-77,8821,3158,1883,244,3473,485,553,227,1599,477,431,32,2520,1700,943,723,1939,4154,3968,2307,5145,4470,3219,487,2762,417,247,-61,
对联营企业和合营企业的投资收益(万元),5953,-1188,-524,1038,-3091,9516,3880,2124,3949,1744,-1156,-1197,2429,2475,-312,-703,3324,1262,-721,-947,4445,888,-913,-648,2537,1582,544,221,221,-331,-60,-33,218,411,328,-40,725,336,-60,--,813,--,--,--,-305,--,--,0,281,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),70106,43648,34427,5711,46344,31350,23303,-153,14090,6058,6480,707,42833,4462,18430,2740,29232,10430,7457,2399,28845,11137,5678,2197,16567,4148,3238,978,21671,6885,4867,3296,15590,9971,3349,2016,18540,10924,6123,2687,10163,5035,2247,1989,11760,8609,4101,1414,4822,1163,23,-284,
营业外收入(万元),222,101,50,11,879,2365,1435,4292,18952,12138,7850,4975,14787,10755,7026,5087,9608,6603,4390,3536,8132,5399,3343,1859,7799,5731,3614,2454,7061,4665,3055,1064,8884,3615,2708,1626,4823,3010,1875,953,3596,2100,1368,820,2577,884,482,168,1467,929,639,473,
营业外支出(万元),364,324,88,65,396,155,82,31,39041,-90,-1612,-1333,6101,207,113,17,228,137,47,13,155,72,43,13,136,79,43,13,148,91,46,25,109,61,37,10,95,43,27,12,110,75,58,8,145,7,-9,-21,71,24,9,4,
非流动资产处置损失(万元),--,--,12,--,--,72,42,40,109,89,89,9,47,33,32,7,21,9,4,--,20,12,9,--,32,23,9,3,42,41,9,6,11,7,1,--,15,9,-5,--,15,9,9,1,88,--,--,0,24,--,--,--,
利润总额(万元),69965,43425,34389,5657,46827,33561,24656,4108,-5999,18286,15942,7014,51518,15010,25343,7810,38612,16896,11799,5922,36822,16464,8978,4043,24229,9799,6810,3419,28585,11459,7876,4335,24365,13525,6020,3632,23268,13891,7971,3628,13648,7059,3557,2801,14192,9487,4592,1603,6219,2068,653,185,
所得税费用(万元),2129,5996,3493,174,3497,2436,1402,3,-775,-851,1504,544,6639,2539,1901,590,3110,3718,889,538,2814,3442,1164,327,993,983,1006,137,2384,710,708,280,2197,1209,630,277,2272,1109,842,292,389,-697,-748,625,1147,1358,728,289,746,227,26,16,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
