报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
营业总收入(万元),2893030,2122858,1352221,658144,2531432,1857479,1231600,643342,2364502,1793982,1204605,607585,1951622,1412430,900746,440153,1535675,1108634,729429,352971,1276148,927709,612367,293721,1034184,762516,496197,240260,796613,570637,363622,169086,591192,415454,269666,132616,417551,286269,184987,95522,340379,249022,160579,80389,224379,157338,99850,48564,160080,115730,72315,123057,103922,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
利息收入(万元),4287121,3135169,2005793,966498,3652425,2734305,1781992,925779,3375353,2533887,1677879,853390,3183106,2380573,1567976,762132,2817547,2093161,1399305,675731,2349489,1737500,1169717,595161,1783975,1281463,829726,407859,1455460,1034913,669367,317037,907183,628153,386592,182089,538244,374906,234888,114077,495922,378579,237155,107097,312057,222192,137813,65108,221873,160365,99491,165579,133497,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),632992,468735,312976,166064,637550,509891,357119,178253,670916,519134,339895,171241,440049,321866,193834,90033,269665,196986,132617,68416,179583,135228,86913,39658,114191,77238,50163,28087,84960,74084,30791,20438,59714,43408,30933,16506,52112,36499,23925,10776,42930,35279,19907,9191,19253,12747,7531,3572,12846,9107,5729,8976,6791,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他业务收入(万元),3094,5520,2013,966,3055,3569,2740,865,2387,2024,1146,614,3237,2477,1529,702,3354,2777,1924,866,3122,2581,1359,761,4427,2418,1706,1278,6110,1310,1104,749,22584,13499,13184,487,1558,1036,582,352,1045,679,573,290,933,684,340,77,279,235,173,168,899,
营业总成本(万元),1738449,1177897,779629,387246,1513442,1022406,676872,357326,1399169,1034212,710172,365867,1149819,749555,456993,222593,833017,535220,343677,165753,670145,429641,283654,135860,529729,342641,224725,109949,412156,276487,182100,83486,312949,202626,133151,70348,242274,164672,105226,55292,185290,122636,80089,43128,106045,77626,49468,23053,76211,57326,39308,57719,45882,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
利息支出(万元),2375096,1762928,1152544,575799,2013527,1473697,921655,445185,1669312,1243559,815996,406959,1621435,1216957,808169,389098,1482079,1108613,764033,361552,1223620,909510,627061,324787,862418,611372,395904,202511,772161,546034,361646,168994,395726,259897,149196,67316,182854,126397,77597,38937,206848,162972,99825,40753,105875,76276,44636,19652,73560,53817,33425,49065,38756,
手续费及佣金支出(万元),53576,38869,27050,14812,47557,36772,23921,12463,66254,50127,27069,17085,41070,31292,19529,8305,21161,14790,9366,4191,17649,12622,7888,3726,16014,11426,6799,3061,13047,9052,5773,2777,10856,7301,4905,1961,6960,4560,2887,1332,5397,3885,2602,825,2123,1476,887,418,1634,1075,610,2060,1139,
