报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),31752,160899,117867,86452,30632,84274,63571,44577,26686,84966,63569,44256,27382,90579,82105,48049,24895,114051,80195,46192,22523,82167,59267,36434,15669,76930,54396,31927,55228,42411,45746,
营业收入(万元),31752,160899,117867,86452,30632,84274,63571,44577,26686,84966,63569,44256,27382,90579,82105,48049,24895,114051,80195,46192,22523,82167,59267,36434,15668,76930,54396,31927,55228,42411,45746,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),28504,149515,106610,76705,25393,126565,57851,40295,22958,83550,61550,42183,23672,88512,71380,41501,22047,101892,69852,39810,19269,71005,48821,31232,13624,64055,46208,27865,45401,34892,38666,
营业成本(万元),23038,116080,84847,62028,20108,56906,44770,31530,19779,60183,46458,32073,20274,71586,57809,33854,17748,80531,57205,32467,15316,56197,39897,25491,10044,50598,36997,21323,37340,29073,31698,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),138,1178,602,495,152,767,413,294,128,726,502,368,80,955,590,384,105,790,617,390,152,542,352,268,106,153,94,66,68,124,134,
销售费用(万元),3421,12722,10162,7014,2686,7106,5292,3591,1489,7857,5490,3403,1300,7806,5398,2893,1352,8776,4825,2550,1061,4998,3266,2048,913,4548,3449,2390,2717,1841,1716,
管理费用(万元),2970,13728,10136,6353,2632,8253,5732,3980,1561,7964,5124,3572,1992,7986,6273,3797,2760,8930,6646,4147,2796,10647,5562,3709,2630,7315,4756,3420,4380,2470,3477,
财务费用(万元),-1064,-1096,-809,-857,-198,-1976,557,-98,-9,-3061,-509,-701,11,-2964,-59,56,40,681,-465,22,-94,-2617,-498,-368,-94,833,640,393,986,989,1557,
资产减值损失(万元),--,6904,1672,1672,12,55509,1086,998,11,9881,4485,3469,14,3144,1369,517,43,2183,1024,234,38,1238,242,85,25,608,273,274,-90,396,85,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),2649,348,1169,700,34,-57,-2,-28,-20,529,-187,-320,39,-1045,-425,-276,10,-217,-206,-83,-157,86,-962,-450,-280,-259,13,2,-152,-44,--,
对联营企业和合营企业的投资收益(万元),--,-203,--,--,--,-78,--,--,--,597,--,--,--,-1045,--,--,--,-217,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6058,13238,13106,11127,5273,-42348,5718,4254,3708,1946,1832,1753,3749,1022,10300,6272,2858,11943,10137,6299,3097,11248,9484,4752,1765,12616,8201,4064,9675,7475,7080,
营业外收入(万元),9,852,190,106,22,2554,717,644,51,1834,1034,739,--,940,623,621,--,790,243,214,157,1912,1169,931,794,2959,846,517,549,348,30,
